學年度,設立別,學校類別,學校統計處代碼,學校名稱,系所代碼,系所名稱,學制班別(日間),性別,申請延長修業年限因素之學生人數-小計,申請延長修業年限因素之學生人數-因畢業學分未修滿因素,申請延長修業年限因素之學生人數-因未通過畢業門檻(條件)因素,申請延長修業年限因素之學生人數-因修讀雙主修因素,申請延長修業年限因素之學生人數-因修讀輔系因素,申請延長修業年限因素之學生人數-因修讀跨校學位因素,申請延長修業年限因素之學生人數-因出國學習因素,申請延長修業年限因素之學生人數-因修讀教育學程(學分學程)因素,申請延長修業年限因素之學生人數-其他因素 
106,公立,一般大學,0001,國立政治大學,04131060,企業管理學系,學士班(日間),男,18,10,2,1,1,0,4,...,0
106,公立,一般大學,0001,國立政治大學,04131060,企業管理學系,學士班(日間),女,22,2,4,6,3,0,7,...,0
106,公立,一般大學,0001,國立政治大學,04134041,公共行政學系,學士班(日間),男,1,0,1,0,0,0,0,...,0
106,公立,一般大學,0001,國立政治大學,04134041,公共行政學系,學士班(日間),女,7,2,1,1,1,0,2,...,0
106,公立,一般大學,0001,國立政治大學,04134043,地政學系,學士班(日間),男,16,11,3,1,1,0,0,...,0
106,公立,一般大學,0001,國立政治大學,04134043,地政學系,學士班(日間),女,5,1,0,0,2,0,2,...,0
106,公立,一般大學,0001,國立政治大學,04141067,國際經營與貿易學系,學士班(日間),男,6,2,1,0,1,0,2,...,0
106,公立,一般大學,0001,國立政治大學,04141067,國際經營與貿易學系,學士班(日間),女,11,4,0,1,3,0,3,...,0
106,公立,一般大學,0001,國立政治大學,04143055,廣告學系,學士班(日間),男,7,1,4,0,0,0,2,...,0
106,公立,一般大學,0001,國立政治大學,04143055,廣告學系,學士班(日間),女,17,3,3,2,2,0,7,...,0
106,公立,一般大學,0001,國立政治大學,04211073,法律學系,學士班(日間),男,19,10,3,5,1,0,0,...,0
106,公立,一般大學,0001,國立政治大學,04211073,法律學系,學士班(日間),女,20,6,0,8,5,0,1,...,0
106,公立,一般大學,0001,國立政治大學,05411078,應用數學系,學士班(日間),男,17,13,2,2,0,0,0,...,0
106,公立,一般大學,0001,國立政治大學,05411078,應用數學系,學士班(日間),女,5,2,0,3,0,0,0,...,0
106,公立,一般大學,0001,國立政治大學,05421079,統計學系,學士班(日間),男,8,6,2,0,0,0,0,...,0
106,公立,一般大學,0001,國立政治大學,06131080,資訊管理學系,學士班(日間),男,11,4,3,1,3,0,0,...,0
106,公立,一般大學,0001,國立政治大學,06131080,資訊管理學系,學士班(日間),女,3,0,0,0,1,0,2,...,0
106,公立,一般大學,0001,國立政治大學,06131081,資訊科學系,學士班(日間),男,9,6,3,0,0,0,0,...,0
106,公立,一般大學,0001,國立政治大學,06131081,資訊科學系,學士班(日間),女,7,4,1,0,2,0,0,...,0
106,公立,一般大學,0002,國立清華大學,01111084,教育與學習科技學系,學士班(日間),男,6,5,1,0,0,0,0,...,0
106,公立,一般大學,0002,國立清華大學,01111084,教育與學習科技學系,學士班(日間),女,5,1,3,0,1,0,0,...,0
106,公立,一般大學,0002,國立清華大學,01113095,特殊教育學系,學士班(日間),男,1,0,1,0,0,0,0,...,0
106,公立,一般大學,0002,國立清華大學,01113095,特殊教育學系,學士班(日間),女,2,0,1,0,0,0,0,...,1
106,公立,一般大學,0002,國立清華大學,01121091,幼兒教育學系,學士班(日間),男,3,0,2,0,0,0,0,...,1
106,公立,一般大學,0002,國立清華大學,01121091,幼兒教育學系,學士班(日間),女,11,5,5,0,1,0,0,...,0
106,公立,一般大學,0002,國立清華大學,01131105,英語教學系,學士班(日間),男,1,1,0,0,0,0,0,...,0
106,公立,一般大學,0002,國立清華大學,01131105,英語教學系,學士班(日間),女,4,2,1,0,0,0,0,...,1
106,公立,一般大學,0002,國立清華大學,01141090,體育學系,學士班(日間),男,11,9,2,0,0,0,0,...,0
106,公立,一般大學,0002,國立清華大學,01141090,體育學系,學士班(日間),女,8,6,2,0,0,0,0,...,0
106,公立,一般大學,0002,國立清華大學,02131098,藝術與設計學系,學士班(日間),男,8,5,3,0,0,0,0,...,0
106,公立,一般大學,0002,國立清華大學,02131098,藝術與設計學系,學士班(日間),女,11,4,6,0,1,0,0,...,0
106,公立,一般大學,0002,國立清華大學,02151096,音樂學系,學士班(日間),男,2,1,1,0,0,0,0,...,0
106,公立,一般大學,0002,國立清華大學,02151096,音樂學系,學士班(日間),女,1,0,0,0,0,0,0,...,1
106,公立,一般大學,0002,國立清華大學,02299010,人文社會學院學士班,學士班(日間),男,13,6,0,0,1,0,0,...,6
106,公立,一般大學,0002,國立清華大學,02299010,人文社會學院學士班,學士班(日間),女,18,3,0,1,1,0,4,...,9
106,公立,一般大學,0002,國立清華大學,02311002,外國語文學系,學士班(日間),男,2,1,0,0,1,0,0,...,0
106,公立,一般大學,0002,國立清華大學,02311002,外國語文學系,學士班(日間),女,21,5,0,2,2,0,1,...,11
106,公立,一般大學,0002,國立清華大學,02322003,中國文學系,學士班(日間),男,2,0,0,0,0,0,0,...,2
106,公立,一般大學,0002,國立清華大學,02322003,中國文學系,學士班(日間),女,13,2,0,3,3,0,2,...,3
106,公立,一般大學,0002,國立清華大學,02322109,中國語文學系,學士班(日間),男,3,0,3,0,0,0,0,...,0
106,公立,一般大學,0002,國立清華大學,02322109,中國語文學系,學士班(日間),女,7,0,5,1,0,0,0,...,1
106,公立,一般大學,0002,國立清華大學,03111011,經濟學系,學士班(日間),男,7,2,0,2,1,0,0,...,2
106,公立,一般大學,0002,國立清華大學,03111011,經濟學系,學士班(日間),女,10,2,0,1,0,0,4,...,3
106,公立,一般大學,0002,國立清華大學,03131077,教育心理與諮商學系,學士班(日間),男,2,0,2,0,0,0,0,...,0
106,公立,一般大學,0002,國立清華大學,03131077,教育心理與諮商學系,學士班(日間),女,4,1,3,0,0,0,0,...,0
106,公立,一般大學,0002,國立清華大學,04121020,計量財務金融學系,學士班(日間),男,8,4,0,0,0,0,0,...,4
106,公立,一般大學,0002,國立清華大學,04121020,計量財務金融學系,學士班(日間),女,3,1,0,0,1,0,0,...,1
