學年度,設立別,學校類別,學校統計處代碼,學校名稱,系所代碼,系所名稱,學制班別(日間),畢業專業學分數,畢業通識/共同學分數,畢業實習學分數,畢業其他畢業學分數,畢業總學分數
106,公立,一般大學,0002,國立清華大學,05311037,化學系,學士班(日間),79,28,0,21,128
106,公立,一般大學,0002,國立清華大學,05331038,物理學系,學士班(日間),72,28,0,28,128
106,公立,一般大學,0002,國立清華大學,05399042,理學院學士班,學士班(日間),79,28,0,20,127
106,公立,一般大學,0002,國立清華大學,05411043,數學系,學士班(日間),54,28,0,46,128
106,公立,一般大學,0002,國立清華大學,06131053,資訊工程學系,學士班(日間),88,28,0,12,128
106,公立,一般大學,0002,國立清華大學,07111057,化學工程學系,學士班(日間),90,28,0,10,128
106,公立,一般大學,0002,國立清華大學,07112058,材料科學工程學系,學士班(日間),102,28,0,0,130
106,公立,一般大學,0002,國立清華大學,07132066,工程與系統科學系,學士班(日間),88,28,0,12,128
106,公立,一般大學,0002,國立清華大學,07141049,電機工程學系,學士班(日間),86,28,0,14,128
106,公立,一般大學,0002,國立清華大學,07141055,電機資訊學院學士班,學士班(日間),86,28,0,14,128
106,公立,一般大學,0002,國立清華大學,07151056,動力機械工程學系,學士班(日間),82,28,0,19,129
106,公立,一般大學,0002,國立清華大學,07191061,工業工程與工程管理學系,學士班(日間),93,28,0,9,130
106,公立,一般大學,0002,國立清華大學,07193063,生醫工程與環境科學系,學士班(日間),88,28,0,12,128
106,公立,一般大學,0002,國立清華大學,07194069,原子科學院學士班,學士班(日間),93,28,0,7,128
106,公立,一般大學,0002,國立清華大學,07199071,工學院學士班,學士班(日間),85,28,0,15,128
106,公立,一般大學,0002,國立清華大學,09121073,醫學科學系,學士班(日間),80,28,0,20,128
106,公立,一般大學,0003,國立臺灣大學,02152003,戲劇學系,學士班(日間),104,24,0,0,128
106,公立,一般大學,0003,國立臺灣大學,02221012,歷史學系,學士班(日間),104,24,0,0,128
106,公立,一般大學,0003,國立臺灣大學,02222013,人類學系,學士班(日間),104,24,0,0,128
106,公立,一般大學,0003,國立臺灣大學,02231014,哲學系,學士班(日間),104,24,0,0,128
106,公立,一般大學,0003,國立臺灣大學,02311007,外國語文學系,學士班(日間),104,24,0,0,128
106,公立,一般大學,0003,國立臺灣大學,02311009,日本語文學系,學士班(日間),106,24,0,0,130
106,公立,一般大學,0003,國立臺灣大學,02322006,中國文學系,學士班(日間),104,24,0,0,128
106,公立,一般大學,0003,國立臺灣大學,02322006,中國文學系國際學生學士班,學士班(日間),104,24,0,0,128
106,公立,一般大學,0003,國立臺灣大學,03111015,經濟學系,學士班(日間),104,24,0,0,128
106,公立,一般大學,0003,國立臺灣大學,03121016,政治學系,學士班(日間),99,24,0,0,123
106,公立,一般大學,0003,國立臺灣大學,03131019,心理學系,學士班(日間),104,24,0,0,128
106,公立,一般大學,0003,國立臺灣大學,03141018,社會學系,學士班(日間),104,24,0,0,128
106,公立,一般大學,0003,國立臺灣大學,03142021,地理環境資源學系,學士班(日間),104,24,0,0,128
106,公立,一般大學,0003,國立臺灣大學,03222025,圖書資訊學系,學士班(日間),115,24,0,0,139
106,公立,一般大學,0003,國立臺灣大學,04111027,會計學系,學士班(日間),109,24,0,0,133
106,公立,一般大學,0003,國立臺灣大學,04121032,財務金融學系,學士班(日間),114,24,0,0,138
106,公立,一般大學,0003,國立臺灣大學,04131029,工商管理學系,學士班(日間),82,24,0,0,106
106,公立,一般大學,0003,國立臺灣大學,04131031,國際企業學系,學士班(日間),116,24,0,0,140
106,公立,一般大學,0003,國立臺灣大學,04211035,法律學系,學士班(日間),106,24,0,0,130
106,公立,一般大學,0003,國立臺灣大學,05111038,生命科學系,學士班(日間),104,24,0,0,128
106,公立,一般大學,0003,國立臺灣大學,05111041,昆蟲學系,學士班(日間),104,24,0,0,128
