學年度,學期,設立別,學校類別,學校統計處代碼,學校名稱,學制班別(日間),科目類別,必選修,每學期課程開課數,課程數-上課人數達100至199人,課程數-上課人數達200人以上
107,2,公立,一般大學,0009,國立中山大學,學士班(日間),專業科目,選修,536,4,0
107,2,公立,一般大學,0009,國立中山大學,學士班(日間),專業科目,必修,450,4,0
107,1,公立,一般大學,0012,國立臺灣海洋大學,學士班(日間),共同科目,選修,106,1,1
107,1,公立,一般大學,0012,國立臺灣海洋大學,學士班(日間),共同科目,必修,231,6,9
107,1,公立,一般大學,0012,國立臺灣海洋大學,學士班(日間),通識科目,必修,103,19,0
107,1,公立,一般大學,0012,國立臺灣海洋大學,學士班(日間),專業科目,選修,369,13,0
107,1,公立,一般大學,0012,國立臺灣海洋大學,學士班(日間),專業科目,必修,400,79,25
107,2,公立,一般大學,0012,國立臺灣海洋大學,學士班(日間),通識科目,必修,106,3,0
107,2,公立,一般大學,0012,國立臺灣海洋大學,學士班(日間),專業科目,選修,354,4,0
107,2,公立,一般大學,0012,國立臺灣海洋大學,學士班(日間),專業科目,必修,403,21,0
107,1,公立,一般大學,0013,國立中正大學,學士班(日間),通識科目,選修,210,13,4
107,1,公立,一般大學,0013,國立中正大學,學士班(日間),專業科目,選修,415,15,2
107,1,公立,一般大學,0013,國立中正大學,學士班(日間),專業科目,必修,608,55,20
107,2,公立,一般大學,0013,國立中正大學,學士班(日間),通識科目,選修,162,2,0
107,2,公立,一般大學,0013,國立中正大學,學士班(日間),專業科目,選修,515,8,0
107,2,公立,一般大學,0013,國立中正大學,學士班(日間),專業科目,必修,544,29,0
107,1,公立,一般大學,0014,國立高雄師範大學,學士班(日間),共同科目,必修,133,4,10
107,1,公立,一般大學,0014,國立高雄師範大學,學士班(日間),通識科目,選修,47,1,0
107,1,公立,一般大學,0014,國立高雄師範大學,學士班(日間),專業科目,選修,474,7,3
107,1,公立,一般大學,0014,國立高雄師範大學,學士班(日間),專業科目,必修,623,26,4
107,2,公立,一般大學,0014,國立高雄師範大學,學士班(日間),共同科目,必修,89,0,0
107,2,公立,一般大學,0014,國立高雄師範大學,學士班(日間),通識科目,選修,65,4,0
107,2,公立,一般大學,0014,國立高雄師範大學,學士班(日間),專業科目,選修,506,0,0
107,2,公立,一般大學,0014,國立高雄師範大學,學士班(日間),專業科目,必修,571,0,0
107,1,公立,一般大學,0015,國立彰化師範大學,學士班(日間),共同科目,選修,15,2,0
107,1,公立,一般大學,0015,國立彰化師範大學,學士班(日間),共同科目,必修,131,5,5
107,1,公立,一般大學,0015,國立彰化師範大學,學士班(日間),通識科目,必修,83,4,1
107,1,公立,一般大學,0015,國立彰化師範大學,學士班(日間),專業科目,選修,337,8,1
107,1,公立,一般大學,0015,國立彰化師範大學,學士班(日間),專業科目,必修,512,19,18
107,2,公立,一般大學,0015,國立彰化師範大學,學士班(日間),共同科目,選修,20,0,0
107,2,公立,一般大學,0015,國立彰化師範大學,學士班(日間),共同科目,必修,44,2,0
107,2,公立,一般大學,0015,國立彰化師範大學,學士班(日間),通識科目,必修,31,1,0
107,2,公立,一般大學,0015,國立彰化師範大學,學士班(日間),專業科目,選修,192,0,0
107,2,公立,一般大學,0015,國立彰化師範大學,學士班(日間),專業科目,必修,355,1,0
107,1,公立,一般大學,0016,國立陽明大學,學士班(日間),共同科目,選修,25,0,0
107,1,公立,一般大學,0016,國立陽明大學,學士班(日間),共同科目,必修,43,1,2
107,1,公立,一般大學,0016,國立陽明大學,學士班(日間),通識科目,必修,125,2,0
107,1,公立,一般大學,0016,國立陽明大學,學士班(日間),專業科目,選修,156,1,0
107,1,公立,一般大學,0016,國立陽明大學,學士班(日間),專業科目,必修,338,42,10
107,2,公立,一般大學,0016,國立陽明大學,學士班(日間),共同科目,選修,20,0,0
107,2,公立,一般大學,0016,國立陽明大學,學士班(日間),共同科目,必修,44,0,0
107,2,公立,一般大學,0016,國立陽明大學,學士班(日間),通識科目,必修,31,0,0
107,2,公立,一般大學,0016,國立陽明大學,學士班(日間),專業科目,選修,192,0,0
107,2,公立,一般大學,0016,國立陽明大學,學士班(日間),專業科目,必修,355,0,0
107,1,公立,一般大學,0017,國立臺北大學,學士班(日間),共同科目,選修,65,1,0
107,1,公立,一般大學,0017,國立臺北大學,學士班(日間),共同科目,必修,85,0,0
107,1,公立,一般大學,0017,國立臺北大學,學士班(日間),通識科目,必修,140,16,1
107,1,公立,一般大學,0017,國立臺北大學,學士班(日間),專業科目,選修,635,37,31
107,1,公立,一般大學,0017,國立臺北大學,學士班(日間),專業科目,必修,818,67,82
107,2,公立,一般大學,0017,國立臺北大學,學士班(日間),共同科目,選修,6,0,1
107,2,公立,一般大學,0017,國立臺北大學,學士班(日間),共同科目,必修,3,0,0
107,2,公立,一般大學,0017,國立臺北大學,學士班(日間),通識科目,選修,272,0,0
107,2,公立,一般大學,0017,國立臺北大學,學士班(日間),通識科目,必修,186,7,0
107,2,公立,一般大學,0017,國立臺北大學,學士班(日間),專業科目,選修,625,52,0
107,2,公立,一般大學,0017,國立臺北大學,學士班(日間),專業科目,必修,666,62,0
107,1,公立,一般大學,0018,國立嘉義大學,學士班(日間),共同科目,選修,13,2,0
107,1,公立,一般大學,0018,國立嘉義大學,學士班(日間),共同科目,必修,31,0,0
107,1,公立,一般大學,0018,國立嘉義大學,學士班(日間),通識科目,選修,270,3,8
107,1,公立,一般大學,0018,國立嘉義大學,學士班(日間),通識科目,必修,141,16,12
107,1,公立,一般大學,0018,國立嘉義大學,學士班(日間),專業科目,選修,721,42,10
107,1,公立,一般大學,0018,國立嘉義大學,學士班(日間),專業科目,必修,667,9,1
107,2,公立,一般大學,0018,國立嘉義大學,學士班(日間),共同科目,選修,6,0,0
107,2,公立,一般大學,0018,國立嘉義大學,學士班(日間),共同科目,必修,3,0,0
107,2,公立,一般大學,0018,國立嘉義大學,學士班(日間),通識科目,選修,272,0,0
107,2,公立,一般大學,0018,國立嘉義大學,學士班(日間),通識科目,必修,186,0,0
107,2,公立,一般大學,0018,國立嘉義大學,學士班(日間),專業科目,選修,625,1,0
107,2,公立,一般大學,0018,國立嘉義大學,學士班(日間),專業科目,必修,666,4,0
107,1,公立,一般大學,0019,國立高雄大學,學士班(日間),共同科目,選修,5,1,0
107,1,公立,一般大學,0019,國立高雄大學,學士班(日間),共同科目,必修,168,0,4
107,1,公立,一般大學,0019,國立高雄大學,學士班(日間),通識科目,選修,135,11,4
107,1,公立,一般大學,0019,國立高雄大學,學士班(日間),專業科目,選修,468,21,0
107,1,公立,一般大學,0019,國立高雄大學,學士班(日間),專業科目,必修,400,23,14
107,2,公立,一般大學,0019,國立高雄大學,學士班(日間),共同科目,選修,3,0,0
107,2,公立,一般大學,0019,國立高雄大學,學士班(日間),共同科目,必修,167,0,0
107,2,公立,一般大學,0019,國立高雄大學,學士班(日間),通識科目,選修,128,0,1
107,2,公立,一般大學,0019,國立高雄大學,學士班(日間),專業科目,選修,496,1,0
107,2,公立,一般大學,0019,國立高雄大學,學士班(日間),專業科目,必修,335,8,0
107,1,公立,一般大學,0020,國立東華大學,學士班(日間),通識科目,選修,260,6,0
107,1,公立,一般大學,0020,國立東華大學,學士班(日間),通識科目,必修,187,40,4
107,1,公立,一般大學,0020,國立東華大學,學士班(日間),專業科目,選修,14,0,0
107,2,公立,一般大學,0020,國立東華大學,學士班(日間),通識科目,選修,242,3,0
107,2,公立,一般大學,0020,國立東華大學,學士班(日間),通識科目,必修,167,36,4
107,2,公立,一般大學,0020,國立東華大學,學士班(日間),專業科目,選修,10,0,0
107,2,公立,一般大學,0020,國立東華大學,學士班(日間),專業科目,必修,2,0,0
107,1,公立,一般大學,0021,國立暨南國際大學,學士班(日間),共同科目,選修,3,0,0
107,1,公立,一般大學,0021,國立暨南國際大學,學士班(日間),共同科目,必修,332,7,4
107,1,公立,一般大學,0021,國立暨南國際大學,學士班(日間),通識科目,選修,1,0,1
107,1,公立,一般大學,0021,國立暨南國際大學,學士班(日間),通識科目,必修,134,15,0
107,1,公立,一般大學,0021,國立暨南國際大學,學士班(日間),專業科目,選修,30,0,0
107,1,公立,一般大學,0021,國立暨南國際大學,學士班(日間),專業科目,必修,628,8,5
107,2,公立,一般大學,0021,國立暨南國際大學,學士班(日間),共同科目,選修,2,0,0
107,2,公立,一般大學,0021,國立暨南國際大學,學士班(日間),共同科目,必修,312,2,0
107,2,公立,一般大學,0021,國立暨南國際大學,學士班(日間),通識科目,選修,2,1,1
107,2,公立,一般大學,0021,國立暨南國際大學,學士班(日間),通識科目,必修,138,12,0
107,2,公立,一般大學,0021,國立暨南國際大學,學士班(日間),專業科目,選修,27,0,0
107,2,公立,一般大學,0021,國立暨南國際大學,學士班(日間),專業科目,必修,587,1,0
107,1,公立,技專校院,0022,國立臺灣科技大學,學士班(日間),共同科目,選修,5,1,0
107,1,公立,技專校院,0022,國立臺灣科技大學,學士班(日間),共同科目,必修,132,7,11
107,1,公立,技專校院,0022,國立臺灣科技大學,學士班(日間),通識科目,必修,27,5,0
107,1,公立,技專校院,0022,國立臺灣科技大學,學士班(日間),專業科目,選修,452,4,0
107,1,公立,技專校院,0022,國立臺灣科技大學,學士班(日間),專業科目,必修,448,59,18
107,2,公立,技專校院,0022,國立臺灣科技大學,學士班(日間),共同科目,選修,4,0,0
107,2,公立,技專校院,0022,國立臺灣科技大學,學士班(日間),共同科目,必修,132,4,0
107,2,公立,技專校院,0022,國立臺灣科技大學,學士班(日間),通識科目,選修,4,0,0
107,2,公立,技專校院,0022,國立臺灣科技大學,學士班(日間),通識科目,必修,31,2,0
107,2,公立,技專校院,0022,國立臺灣科技大學,學士班(日間),專業科目,選修,202,3,0
107,2,公立,技專校院,0022,國立臺灣科技大學,學士班(日間),專業科目,必修,398,7,0
107,1,公立,技專校院,0023,國立雲林科技大學,學士班(日間),共同科目,必修,65,0,4
107,1,公立,技專校院,0023,國立雲林科技大學,學士班(日間),專業科目,選修,106,3,0
107,1,公立,技專校院,0023,國立雲林科技大學,學士班(日間),專業科目,必修,495,53,20
107,2,公立,技專校院,0023,國立雲林科技大學,學士班(日間),共同科目,必修,69,0,0
107,2,公立,技專校院,0023,國立雲林科技大學,學士班(日間),專業科目,選修,123,1,0
107,2,公立,技專校院,0023,國立雲林科技大學,學士班(日間),專業科目,必修,440,8,0
107,1,公立,技專校院,0024,國立屏東科技大學,學士班(日間),共同科目,必修,407,3,15
107,1,公立,技專校院,0024,國立屏東科技大學,學士班(日間),通識科目,必修,87,26,6
107,1,公立,技專校院,0024,國立屏東科技大學,學士班(日間),專業科目,選修,671,20,4
107,1,公立,技專校院,0024,國立屏東科技大學,學士班(日間),專業科目,必修,667,72,25
107,2,公立,技專校院,0024,國立屏東科技大學,學士班(日間),共同科目,選修,8,6,0
107,2,公立,技專校院,0024,國立屏東科技大學,學士班(日間),共同科目,必修,412,0,0
107,2,公立,技專校院,0024,國立屏東科技大學,學士班(日間),通識科目,必修,99,19,0
107,2,公立,技專校院,0024,國立屏東科技大學,學士班(日間),專業科目,選修,653,1,2
107,2,公立,技專校院,0024,國立屏東科技大學,學士班(日間),專業科目,必修,638,2,0
107,1,公立,技專校院,0025,國立臺北科技大學,學士班(日間),共同科目,選修,30,2,1
107,1,公立,技專校院,0025,國立臺北科技大學,學士班(日間),共同科目,必修,328,3,10
107,1,公立,技專校院,0025,國立臺北科技大學,學士班(日間),通識科目,必修,123,14,17
107,1,公立,技專校院,0025,國立臺北科技大學,學士班(日間),專業科目,選修,491,41,14
107,1,公立,技專校院,0025,國立臺北科技大學,學士班(日間),專業科目,必修,523,56,23
107,1,公立,技專校院,0025,國立臺北科技大學,五專,共同科目,必修,8,0,0
107,1,公立,技專校院,0025,國立臺北科技大學,五專,專業科目,選修,1,0,0
107,1,公立,技專校院,0025,國立臺北科技大學,五專,專業科目,必修,4,0,0
107,2,公立,技專校院,0025,國立臺北科技大學,學士班(日間),共同科目,選修,25,0,0
107,2,公立,技專校院,0025,國立臺北科技大學,學士班(日間),共同科目,必修,297,0,0
107,2,公立,技專校院,0025,國立臺北科技大學,學士班(日間),通識科目,必修,126,5,1
107,2,公立,技專校院,0025,國立臺北科技大學,學士班(日間),專業科目,選修,666,5,1
107,2,公立,技專校院,0025,國立臺北科技大學,學士班(日間),專業科目,必修,447,1,0
107,2,公立,技專校院,0025,國立臺北科技大學,五專,共同科目,必修,9,0,0
107,2,公立,技專校院,0025,國立臺北科技大學,五專,專業科目,選修,3,0,0
107,2,公立,技專校院,0025,國立臺北科技大學,五專,專業科目,必修,4,0,0
107,1,公立,一般大學,0028,國立臺北藝術大學,學士班(日間),通識科目,選修,9,2,0
107,1,公立,一般大學,0028,國立臺北藝術大學,學士班(日間),專業科目,選修,150,0,0
107,1,公立,一般大學,0028,國立臺北藝術大學,學士班(日間),專業科目,必修,497,1,2
107,2,公立,一般大學,0028,國立臺北藝術大學,學士班(日間),通識科目,選修,8,0,0
107,2,公立,一般大學,0028,國立臺北藝術大學,學士班(日間),專業科目,選修,170,0,0
107,2,公立,一般大學,0028,國立臺北藝術大學,學士班(日間),專業科目,必修,485,1,0
107,1,公立,一般大學,0029,國立臺灣藝術大學,學士班(日間),共同科目,選修,46,0,3
107,1,公立,一般大學,0029,國立臺灣藝術大學,學士班(日間),共同科目,必修,32,1,0
107,1,公立,一般大學,0029,國立臺灣藝術大學,學士班(日間),通識科目,選修,118,7,4
107,1,公立,一般大學,0029,國立臺灣藝術大學,學士班(日間),專業科目,選修,762,9,0
107,1,公立,一般大學,0029,國立臺灣藝術大學,學士班(日間),專業科目,必修,337,2,0
107,2,公立,一般大學,0029,國立臺灣藝術大學,學士班(日間),共同科目,選修,30,0,0
107,2,公立,一般大學,0029,國立臺灣藝術大學,學士班(日間),共同科目,必修,52,0,0
107,2,公立,一般大學,0029,國立臺灣藝術大學,學士班(日間),通識科目,選修,114,0,0
107,2,公立,一般大學,0029,國立臺灣藝術大學,學士班(日間),專業科目,選修,735,0,0
107,2,公立,一般大學,0029,國立臺灣藝術大學,學士班(日間),專業科目,必修,349,0,0
107,1,公立,一般大學,0030,國立臺東大學,學士班(日間),共同科目,選修,7,1,0
107,1,公立,一般大學,0030,國立臺東大學,學士班(日間),共同科目,必修,59,5,3
107,1,公立,一般大學,0030,國立臺東大學,學士班(日間),通識科目,選修,53,5,0
107,1,公立,一般大學,0030,國立臺東大學,學士班(日間),通識科目,必修,87,2,6
107,1,公立,一般大學,0030,國立臺東大學,學士班(日間),專業科目,選修,336,0,0
107,1,公立,一般大學,0030,國立臺東大學,學士班(日間),專業科目,必修,337,4,0
107,2,公立,一般大學,0030,國立臺東大學,學士班(日間),共同科目,選修,1,0,0
107,2,公立,一般大學,0030,國立臺東大學,學士班(日間),共同科目,必修,43,0,0
107,2,公立,一般大學,0030,國立臺東大學,學士班(日間),通識科目,選修,51,1,0
107,2,公立,一般大學,0030,國立臺東大學,學士班(日間),通識科目,必修,86,0,0
107,2,公立,一般大學,0030,國立臺東大學,學士班(日間),專業科目,選修,384,1,0
107,2,公立,一般大學,0030,國立臺東大學,學士班(日間),專業科目,必修,300,0,0
107,1,公立,一般大學,0031,國立宜蘭大學,學士班(日間),共同科目,選修,28,2,1
107,1,公立,一般大學,0031,國立宜蘭大學,學士班(日間),共同科目,必修,149,6,5
107,1,公立,一般大學,0031,國立宜蘭大學,學士班(日間),通識科目,選修,55,1,0
107,1,公立,一般大學,0031,國立宜蘭大學,學士班(日間),通識科目,必修,57,15,0
107,1,公立,一般大學,0031,國立宜蘭大學,學士班(日間),專業科目,選修,207,4,0
107,1,公立,一般大學,0031,國立宜蘭大學,學士班(日間),專業科目,必修,349,40,13
107,2,公立,一般大學,0031,國立宜蘭大學,學士班(日間),共同科目,選修,36,0,0
107,2,公立,一般大學,0031,國立宜蘭大學,學士班(日間),共同科目,必修,144,0,0
107,2,公立,一般大學,0031,國立宜蘭大學,學士班(日間),通識科目,選修,51,2,0
107,2,公立,一般大學,0031,國立宜蘭大學,學士班(日間),通識科目,必修,58,0,0
107,2,公立,一般大學,0031,國立宜蘭大學,學士班(日間),專業科目,選修,204,2,0
107,2,公立,一般大學,0031,國立宜蘭大學,學士班(日間),專業科目,必修,321,6,0
107,1,公立,一般大學,0032,國立聯合大學,學士班(日間),共同科目,必修,238,0,9
107,1,公立,一般大學,0032,國立聯合大學,學士班(日間),通識科目,選修,144,16,0
107,1,公立,一般大學,0032,國立聯合大學,學士班(日間),專業科目,選修,324,7,0
107,1,公立,一般大學,0032,國立聯合大學,學士班(日間),專業科目,必修,796,49,19
107,2,公立,一般大學,0032,國立聯合大學,學士班(日間),共同科目,必修,237,5,0
107,2,公立,一般大學,0032,國立聯合大學,學士班(日間),通識科目,選修,145,1,0
107,2,公立,一般大學,0032,國立聯合大學,學士班(日間),專業科目,選修,373,0,0
107,2,公立,一般大學,0032,國立聯合大學,學士班(日間),專業科目,必修,652,0,0
107,1,公立,技專校院,0033,國立虎尾科技大學,學士班(日間),共同科目,必修,260,1,4
107,1,公立,技專校院,0033,國立虎尾科技大學,學士班(日間),通識科目,必修,145,20,13
107,1,公立,技專校院,0033,國立虎尾科技大學,學士班(日間),專業科目,選修,392,25,5
107,1,公立,技專校院,0033,國立虎尾科技大學,學士班(日間),專業科目,必修,625,88,33
107,1,公立,技專校院,0033,國立虎尾科技大學,五專,共同科目,必修,9,0,0
107,1,公立,技專校院,0033,國立虎尾科技大學,五專,專業科目,選修,1,0,0
107,1,公立,技專校院,0033,國立虎尾科技大學,五專,專業科目,必修,4,0,0
107,2,公立,技專校院,0033,國立虎尾科技大學,學士班(日間),共同科目,必修,263,1,0
107,2,公立,技專校院,0033,國立虎尾科技大學,學士班(日間),通識科目,必修,138,0,0
107,2,公立,技專校院,0033,國立虎尾科技大學,學士班(日間),專業科目,選修,435,3,0
107,2,公立,技專校院,0033,國立虎尾科技大學,學士班(日間),專業科目,必修,549,5,0
107,2,公立,技專校院,0033,國立虎尾科技大學,五專,共同科目,必修,9,0,0
107,2,公立,技專校院,0033,國立虎尾科技大學,五專,專業科目,選修,2,0,0
107,2,公立,技專校院,0033,國立虎尾科技大學,五專,專業科目,必修,5,0,0
107,1,公立,一般大學,0035,國立臺南藝術大學,學士班(日間),通識科目,選修,47,1,1
107,1,公立,一般大學,0035,國立臺南藝術大學,學士班(日間),通識科目,必修,48,2,0
107,1,公立,一般大學,0035,國立臺南藝術大學,學士班(日間),專業科目,選修,247,0,0
107,1,公立,一般大學,0035,國立臺南藝術大學,學士班(日間),專業科目,必修,120,1,1
107,2,公立,一般大學,0035,國立臺南藝術大學,學士班(日間),專業科目,選修,232,0,0
107,2,公立,一般大學,0035,國立臺南藝術大學,學士班(日間),專業科目,必修,121,1,0
107,1,公立,一般大學,0036,國立臺南大學,學士班(日間),通識科目,選修,83,6,0
107,1,公立,一般大學,0036,國立臺南大學,學士班(日間),通識科目,必修,67,0,5
107,1,公立,一般大學,0036,國立臺南大學,學士班(日間),專業科目,選修,368,4,0
107,1,公立,一般大學,0036,國立臺南大學,學士班(日間),專業科目,必修,387,21,3
107,2,公立,一般大學,0036,國立臺南大學,學士班(日間),通識科目,選修,85,6,0
107,2,公立,一般大學,0036,國立臺南大學,學士班(日間),通識科目,必修,67,0,0
107,2,公立,一般大學,0036,國立臺南大學,學士班(日間),專業科目,選修,388,0,0
107,2,公立,一般大學,0036,國立臺南大學,學士班(日間),專業科目,必修,348,1,0
107,1,公立,一般大學,0037,國立臺北教育大學,學士班(日間),共同科目,選修,111,0,0
107,1,公立,一般大學,0037,國立臺北教育大學,學士班(日間),共同科目,必修,133,0,6
107,1,公立,一般大學,0037,國立臺北教育大學,學士班(日間),通識科目,選修,109,18,1
107,1,公立,一般大學,0037,國立臺北教育大學,學士班(日間),通識科目,必修,8,0,1
107,1,公立,一般大學,0037,國立臺北教育大學,學士班(日間),專業科目,選修,301,1,0
107,1,公立,一般大學,0037,國立臺北教育大學,學士班(日間),專業科目,必修,375,7,0
107,2,公立,一般大學,0037,國立臺北教育大學,學士班(日間),共同科目,選修,24,0,0
107,2,公立,一般大學,0037,國立臺北教育大學,學士班(日間),共同科目,必修,111,0,0
107,2,公立,一般大學,0037,國立臺北教育大學,學士班(日間),通識科目,選修,98,1,0
107,2,公立,一般大學,0037,國立臺北教育大學,學士班(日間),通識科目,必修,8,0,0
107,2,公立,一般大學,0037,國立臺北教育大學,學士班(日間),專業科目,選修,325,0,0
107,2,公立,一般大學,0037,國立臺北教育大學,學士班(日間),專業科目,必修,349,0,0
107,1,公立,一般大學,0039,國立臺中教育大學,學士班(日間),共同科目,選修,2,0,0
107,1,公立,一般大學,0039,國立臺中教育大學,學士班(日間),共同科目,必修,83,0,4
107,1,公立,一般大學,0039,國立臺中教育大學,學士班(日間),通識科目,選修,68,4,6
107,1,公立,一般大學,0039,國立臺中教育大學,學士班(日間),專業科目,選修,417,6,0
107,1,公立,一般大學,0039,國立臺中教育大學,學士班(日間),專業科目,必修,444,15,5
107,2,公立,一般大學,0039,國立臺中教育大學,學士班(日間),共同科目,必修,83,0,0
107,2,公立,一般大學,0039,國立臺中教育大學,學士班(日間),通識科目,選修,63,6,0
107,2,公立,一般大學,0039,國立臺中教育大學,學士班(日間),專業科目,選修,446,0,0
