學年度,設立別,學校類別,學校統計處代碼,學校名稱,108學年度購買圖書經費,108學年度學生數,108學年度每生平均圖書經費,107學年度購買圖書經費,107學年度學生數,107學年度每生平均圖書經費,106學年度購買圖書經費,106學年度學生數,106學年度每生平均圖書經費,近3學年度購買圖書經費之平均
110,私立,一般大學,1009,長庚大學,78401952,6834,11472,83436007,7052,11832,78488673,7187,10921,80108877
110,私立,一般大學,1010,元智大學,46510000,8703,5344,46510000,8882,5236,51485000,9135,5636,48168333
110,私立,一般大學,1011,中華大學學校財團法人中華大學,17498773,5471,3198,16188992,6267,2583,14889728,6722,2215,16192498
110,私立,一般大學,1012,大葉大學,22117005,9166,2413,24853337,10311,2410,24982934,11147,2241,23984425
110,私立,一般大學,1013,華梵大學,1298300,1518,855,1672434,1871,894,1709187,2320,737,1559974
110,私立,一般大學,1014,義守大學,23927478,14933,1602,29006030,15532,1868,39618217,16209,2444,30850575
110,私立,一般大學,1015,世新大學,12807991,11387,1125,14800863,11590,1277,16406583,11723,1400,14671812
110,私立,一般大學,1016,銘傳大學,48128782,18791,2561,49490394,18975,2608,54202843,19129,2834,50607340
110,私立,一般大學,1017,實踐大學,24539449,13555,1810,25679920,13968,1838,25835067,14579,1772,25351479
110,私立,技專校院,1018,朝陽科技大學,24300111,15364,1582,32188151,15612,2062,26170820,15792,1657,27553027
110,私立,一般大學,1019,高雄醫學大學,69413265,6487,10700,72822364,6802,10706,66627965,6881,9683,69621198
110,私立,一般大學,1020,南華大學,17287744,5690,3038,17468644,5898,2962,18906146,5600,3376,17887511
110,私立,一般大學,1021,真理大學,5515078,5587,987,2302088,6204,371,6829243,6773,1008,4882136
110,私立,一般大學,1022,大同大學,15562948,4167,3735,16224773,4390,3696,16283429,4497,3621,16023717
110,私立,技專校院,1023,南臺學校財團法人南臺科技大學,25988582,18563,1400,28402343,18622,1525,26528032,18855,1407,26972986
110,私立,技專校院,1024,崑山科技大學,16392319,11270,1455,19165306,11677,1641,16761040,12174,1377,17439555
110,私立,技專校院,1025,嘉藥學校財團法人嘉南藥理大學,10183721,13139,775,9421533,14347,657,9883790,15702,629,9829681
110,私立,技專校院,1026,樹德科技大學,11798332,10492,1125,12670756,10626,1192,13475890,10699,1260,12648326
110,私立,一般大學,1027,慈濟學校財團法人慈濟大學,25063124,3373,7431,25433582,3448,7376,26493970,3460,7657,25663559
110,私立,一般大學,1028,臺北醫學大學,77490576,5946,13032,76522285,6140,12463,73145477,6112,11968,75719446
110,私立,一般大學,1029,中山醫學大學,31305694,6913,4529,32088952,7096,4522,29840214,7237,4123,31078287
110,私立,技專校院,1030,龍華科技大學,14535181,11330,1283,16971735,11229,1511,8444947,11086,762,13317288
110,私立,技專校院,1031,輔英科技大學,13581816,9532,1425,12953212,9401,1378,14068043,9306,1512,13534357
110,私立,技專校院,1032,明新學校財團法人明新科技大學,9935442,12157,817,13185217,12392,1064,13003482,12319,1056,12041380
110,私立,一般大學,1033,長榮大學,22245771,8609,2584,25878916,9259,2795,25049199,9680,2588,24391295
110,私立,技專校院,1034,弘光科技大學,12093575,12779,946,18046427,12971,1391,19921821,12959,1537,16687274
110,私立,一般大學,1035,中國醫藥大學,54249055,7212,7522,52933953,7425,7129,53973195,7468,7227,53718734
110,私立,技專校院,1036,健行學校財團法人健行科技大學,13951942,11269,1238,14608938,11333,1289,15041741,10765,1397,14534207
110,私立,技專校院,1037,正修學校財團法人正修科技大學,17189802,16989,1012,23799449,16939,1405,18252923,16903,1080,19747391
110,私立,技專校院,1038,萬能學校財團法人萬能科技大學,14084889,10119,1392,15443694,10380,1488,15412846,10472,1472,14980476
110,私立,一般大學,1039,玄奘大學,4107747,2889,1422,4824802,3674,1313,4110282,4367,941,4347610
110,私立,技專校院,1040,建國科技大學,4372474,7273,601,6767740,7545,897,9439349,7839,1204,6859854
110,私立,技專校院,1041,明志科技大學,15718142,4572,3438,14124761,4559,3098,11629908,4561,2550,13824270
110,私立,技專校院,1042,高苑科技大學,1489127,3716,401,2185916,4692,466,2923727,5587,523,2199590
110,私立,技專校院,1043,大仁科技大學,3807767,5777,659,4507412,6260,720,3334397,6615,504,3883192
110,私立,技專校院,1044,聖約翰科技大學,1916145,3073,624,3240147,3807,851,4261887,3967,1074,3139393
110,私立,技專校院,1045,嶺東科技大學,13972707,10451,1337,14025959,10336,1357,14248761,10312,1382,14082476
110,私立,技專校院,1046,中國科技大學,5572305,9084,613,6732100,9972,675,6277814,10969,572,6194073
110,私立,技專校院,1047,中臺科技大學,11111768,8402,1323,14521073,8685,1672,13250794,9007,1471,12961212
110,私立,一般大學,1048,亞洲大學,36865975,11689,3154,35167632,11779,2986,34413194,12123,2839,35482267
110,私立,一般大學,1049,開南大學,7475480,5894,1268,8535221,6665,1281,8236808,7330,1124,8082503
110,私立,一般大學,1050,佛光大學,13001466,3550,3662,12063406,3696,3264,15221095,3822,3982,13428656
110,私立,技專校院,1051,台南家專學校財團法人台南應用科技大學,9381407,12714,738,12721673,12731,999,16998165,12733,1335,13033748
110,私立,技專校院,1052,遠東科技大學,5400577,4942,1093,5998864,5553,1080,6175943,6247,989,5858461
110,私立,技專校院,1053,光宇學校財團法人元培醫事科技大學,6381963,6206,1028,6356839,6292,1010,6920234,6437,1075,6553012
110,私立,技專校院,1054,景文科技大學,3237538,6849,473,5355543,7061,758,3941365,7299,540,4178149
110,私立,技專校院,1055,中華醫事科技大學,12040029,8990,1339,11870565,9162,1296,13007243,9240,1408,12305946
110,私立,技專校院,1056,東南科技大學,1339467,5575,240,2644618,5935,446,4874557,6241,781,2952881
110,私立,技專校院,1057,德明財經科技大學,6355791,7826,812,7023254,8186,858,6419217,8420,762,6599421
110,私立,一般大學,1058,明道學校財團法人明道大學,74481,3262,23,136788,3913,35,605656,4469,136,272308
110,私立,技專校院,1060,南開科技大學,6306668,4106,1536,8417574,4726,1781,10620157,5217,2036,8448133
110,私立,技專校院,1061,中華學校財團法人中華科技大學,5212770,5176,1007,4112978,5810,708,6108729,6538,934,5144826
110,私立,技專校院,1062,僑光科技大學,12040799,11056,1089,13829407,10970,1261,11387185,10856,1049,12419130
110,私立,技專校院,1063,廣亞學校財團法人育達科技大學,1776294,4225,420,2256203,4840,466,1816422,4582,396,1949640
110,私立,技專校院,1064,美和學校財團法人美和科技大學,4047828,6626,611,4722570,7403,638,5322715,7466,713,4697704
110,私立,技專校院,1065,吳鳳科技大學,3686225,4229,872,3814168,4360,875,5243165,4709,1113,4247853
110,私立,技專校院,1066,環球學校財團法人環球科技大學,2696870,4138,652,4433523,4776,928,4119837,5295,778,3750077
110,私立,一般大學,1067,台灣首府學校財團法人台灣首府大學,1814603,1539,1179,1946663,2194,887,2329760,2730,853,2030342
110,私立,技專校院,1068,中州學校財團法人中州科技大學,630708,3061,206,689069,3274,210,1276540,3473,368,865439
110,私立,技專校院,1069,修平學校財團法人修平科技大學,6299393,4584,1374,8339042,4877,1710,8692926,5211,1668,7777120
110,私立,技專校院,1070,長庚學校財團法人長庚科技大學,11737417,6437,1823,11769930,6635,1774,8988561,6712,1339,10831969
110,私立,技專校院,1071,城市學校財團法人臺北城市科技大學,3443981,9378,367,5229858,9358,559,6374551,9677,659,5016130
110,私立,技專校院,1072,大華學校財團法人敏實科技大學,658055,1157,569,913468,2019,452,1986670,2940,676,1186064
110,私立,技專校院,1073,醒吾學校財團法人醒吾科技大學,3444614,7563,455,5909845,8097,730,5882007,8198,717,5078822
110,私立,技專校院,1075,文藻學校財團法人文藻外語大學,9681080,9321,1039,10075771,9437,1068,10347847,9419,1099,10034899
