,學年度,學校代碼,學校名稱,學雜費收入,%,推廣及產學收入,%,補助收入,%,受贈收入,%,利息收入,%,投資、基金及附屬機構收益,%,其他收入,%,合計,%
,101,1071,臺北城市科技大學,834363,82.16,48607,4.79,89974,8.86,1049,0.1,7762,0.76,2379,0.23,31381,3.09,1015515,100
,101,1072,大華科技大學,358721,68.51,78844,15.06,65351,12.48,105,0.02,3283,0.63,-,-,17306,3.31,523610,100
,101,1073,醒吾科技大學,691313,79.93,72038,8.33,72910,8.43,821,0.09,985,0.11,-,-,26846,3.1,864914,100
,101,1074,南榮科技大學,224983,72.83,19831,6.42,45869,14.85,659,0.21,3371,1.09,45,0.01,14157,4.58,308914,100
,101,1075,文藻外語大學,743272,67.64,87845,7.99,202943,18.47,6103,0.56,5373,0.49,1273,0.12,52071,4.74,1098880,100
,101,1076,華夏科技大學,457253,76.32,29278,4.89,99232,16.56,1304,0.22,2801,0.47,-,-,9293,1.55,599161,100
,101,1125,中信金融管理學院,49988,46.11,22532,20.78,30121,27.78,1079,0.99,2590,2.39,-,-,2101,1.94,108410,100
,101,1148,大漢技術學院,163187,60.27,8999,3.32,36953,13.65,38623,14.26,2782,1.03,0,0,20224,7.47,270769,100
,101,1150,慈濟技術學院,182276,33.64,60339,11.14,83328,15.38,186675,34.45,2426,0.45,-,-,26762,4.94,541806,100
,101,1154,永達技術學院,109000,56.6,35773,18.58,35684,18.53,905,0.47,319,0.17,-,-,10893,5.66,192574,100
,101,1159,和春技術學院,302623,75,23971,5.94,52622,13.04,253,0.06,1206,0.3,411,0.1,22386,5.55,403472,100
,101,1164,致理技術學院,791890,78.54,63704,6.32,133673,13.26,1318,0.13,5704,0.57,10,0,12005,1.19,1008303,100
,101,1166,亞東技術學院,490914,50.74,42787,4.42,53994,5.58,1401,0.14,21589,2.23,326803,33.78,29988,3.1,967477,100
,101,1168,桃園創新技術學院,617957,74.65,80710,9.75,68146,8.23,315,0.04,1196,0.14,3,0,59520,7.19,827846,100
,101,1176,稻江科技暨管理學院,191039,61.92,44231,14.34,51390,16.66,2261,0.73,4308,1.4,-,-,15278,4.95,308507,100
,101,1179,德霖技術學院,609146,80.16,37162,4.89,70831,9.32,1110,0.15,18535,2.44,-,-,23093,3.04,759877,100
,101,1182,蘭陽技術學院,313758,76.59,16955,4.14,55260,13.49,145,0.04,1121,0.27,-,-,22423,5.47,409662,100
,101,1183,黎明技術學院,356538,82.08,20670,4.76,44953,10.35,853,0.2,890,0.2,-,-,10494,2.42,434398,100
,101,1184,東方設計學院,369792,72.01,36115,7.03,85255,16.6,3418,0.67,2523,0.49,-,-,16419,3.2,513521,100
,101,1185,經國管理暨健康學院,373009,82.19,14249,3.14,52071,11.47,11,0,5112,1.13,2028,0.45,7334,1.62,453813,100
,101,1187,崇右技術學院,321069,76.8,40754,9.75,45609,10.91,745,0.18,1896,0.45,28,0.01,7985,1.91,418086,100
,101,1188,大同技術學院,266512,76.46,13914,3.99,53755,15.42,729,0.21,1431,0.41,-,-,12214,3.5,348555,100
,101,1189,亞太創意技術學院,250940,66.38,51191,13.54,57077,15.1,226,0.06,332,0.09,195,0.05,18077,4.78,378039,100
,101,1192,臺灣觀光學院,187183,74.61,8221,3.28,38198,15.23,865,0.34,1482,0.59,-,-,14926,5.95,250876,100
,101,1195,馬偕醫學院,36378,10.29,20045,5.67,22254,6.29,250140,70.75,5168,1.46,5147,1.46,14436,4.08,353568,100
,101,1196,法鼓文理學院,8207,10.29,7852,9.84,6309,7.91,51129,64.09,2757,3.46,-,-,3525,4.42,79780,100
,101,1197,台北海洋技術學院,551614,83.04,22880,3.44,53911,8.12,2392,0.36,2156,0.32,19,0,31285,4.71,664257,100
,101,1281,康寧醫護暨管理專科學校,190272,65.08,14926,5.11,51841,17.73,546,0.19,3424,1.17,-,-,31359,10.73,292367,100
,101,1282,馬偕醫護管理專科學校,221332,52.28,13004,3.07,65239,15.41,65686,15.52,4413,1.04,29,0.01,53654,12.67,423359,100
,101,1283,仁德醫護管理專科學校,395440,73.88,26908,5.03,60544,11.31,816,0.15,1704,0.32,-,-,49814,9.31,535226,100
,101,1284,樹人醫護管理專科學校,407570,79.32,4146,0.81,56353,10.97,294,0.06,2952,0.57,-,-,42495,8.27,513810,100
,101,1285,慈惠醫護管理專科學校,360557,70.04,17954,3.49,99684,19.36,1874,0.36,925,0.18,-,-,33772,6.56,514767,100
,101,1286,耕莘健康管理專科學校,296158,64.53,12935,2.82,67478,14.7,1171,0.26,1451,0.32,3724,0.81,76049,16.57,458966,100
,101,1287,敏惠醫護管理專科學校,240633,52.69,5373,1.18,172293,37.72,832,0.18,1231,0.27,-,-,36354,7.96,456716,100
,101,1288,高美醫護管理專科學校,56471,63.97,392,0.44,19860,22.5,323,0.37,50,0.06,-,-,11184,12.67,88280,100
,101,1289,育英醫護管理專科學校,127171,70.55,2316,1.28,42367,23.5,1225,0.68,1917,1.06,3,0,5267,2.92,180265,100
,101,1290,崇仁醫護管理專科學校,193393,73.95,326,0.12,40886,15.63,4689,1.79,1405,0.54,-,-,20836,7.97,261534,100
,101,1291,聖母醫護管理專科學校,239713,72.61,8655,2.62,54530,16.52,6035,1.83,2040,0.62,-,-,19161,5.8,330134,100
,101,1292,新生醫護管理專科學校,333204,66.92,13458,2.7,70449,14.15,464,0.09,430,0.09,-,-,79929,16.05,497933,100
,101,1R02,基督教台灣浸會神學院,2262,8.45,926,3.46,313,1.17,22404,83.71,709,2.65,-,-,148,0.55,26763,100
,101,1R03,臺北基督學院,5643,8.89,20279,31.94,500,0.79,27538,43.38,306,0.48,-,-,9219,14.52,63485,100
,102,1001,東海大學,1616400,62.04,352374,13.52,246167,9.45,97903,3.76,18810,0.72,98122,3.77,175723,6.74,2605500,100
,102,1002,輔仁大學,2399681,65.91,388317,10.67,394545,10.84,195181,5.36,58192,1.6,-,-,204743,5.62,3640659,100
,102,1003,東吳大學,1376993,67.18,236006,11.51,220192,10.74,71416,3.48,15447,0.75,9340,0.46,120418,5.87,2049812,100
,102,1004,中原大學,1549787,55.76,577113,20.76,382351,13.76,57710,2.08,13456,0.48,2407,0.09,196573,7.07,2779398,100
,102,1005,淡江大學,2454094,66.07,588316,15.84,400436,10.78,84478,2.27,6910,0.19,-,-,180367,4.86,3714600,100
,102,1006,中國文化大學,2143611,58.4,849788,23.15,354782,9.67,37422,1.02,37492,1.02,27737,0.76,219463,5.98,3670294,100
,102,1007,逢甲大學,2032515,57.4,824748,23.29,430754,12.17,59377,1.68,7082,0.2,36876,1.04,149483,4.22,3540836,100
,102,1008,靜宜大學,1124706,64.78,188554,10.86,283953,16.36,5206,0.3,26521,1.53,364,0.02,106879,6.16,1736184,100
,102,1009,長庚大學,605745,16.66,1355337,37.28,270897,7.45,46735,1.29,54111,1.49,1123682,30.91,179256,4.93,3635763,100
,102,1010,元智大學,920874,47.29,330900,16.99,228693,11.74,6589,0.34,1427,0.07,342926,17.61,115811,5.95,1947220,100
,102,1011,中華大學,757154,63.87,216583,18.27,122547,10.34,3901,0.33,9567,0.81,-,-,75755,6.39,1185508,100
,102,1012,大葉大學,1011252,65.37,225002,14.55,209747,13.56,9641,0.62,9552,0.62,211,0.01,81470,5.27,1546874,100
,102,1013,華梵大學,318124,57.45,30894,5.58,152350,27.51,6116,1.1,8033,1.45,13209,2.39,24991,4.51,553715,100
,102,1014,義守大學,1533831,60.54,349487,13.8,234753,9.27,6974,0.28,837,0.03,495,0.02,407053,16.07,2533430,100
,102,1015,世新大學,1198154,65.59,294136,16.1,199514,10.92,19985,1.09,4419,0.24,55125,3.02,55384,3.03,1826716,100
,102,1016,銘傳大學,1845993,72.55,267547,10.52,299014,11.75,9580,0.38,8731,0.34,350,0.01,113128,4.45,2544342,100
,102,1017,實踐大學,1253061,68.19,227978,12.41,214757,11.69,17129,0.93,4149,0.23,-,-,120543,6.56,1837618,100
,102,1018,朝陽科技大學,1551580,69.77,305710,13.75,190292,8.56,5216,0.23,16749,0.75,55708,2.5,98615,4.43,2223869,100
,102,1019,高雄醫學大學,780578,34.77,385857,17.19,199585,8.89,15828,0.71,2232,0.1,757897,33.76,102996,4.59,2244972,100
,102,1020,南華大學,408797,53.03,45296,5.88,173824,22.55,86016,11.16,622,0.08,1962,0.25,54339,7.05,770857,100
,102,1021,真理大學,790119,78.78,44728,4.46,99139,9.88,6448,0.64,476,0.05,40,0,61996,6.18,1002947,100
,102,1022,大同大學,478720,60.05,130254,16.34,115090,14.44,10408,1.31,888,0.11,-,-,61779,7.75,797138,100
,102,1023,南臺科技大學,1611621,64.83,254094,10.22,472293,19,7895,0.32,11796,0.47,-,-,128045,5.15,2485743,100
,102,1024,崑山科技大學,1066785,60.42,223814,12.68,327232,18.53,8502,0.48,2297,0.13,1549,0.09,135337,7.67,1765515,100
,102,1025,嘉南藥理大學,1521798,75.12,192697,9.51,165226,8.16,3367,0.17,2899,0.14,277,0.01,139475,6.89,2025738,100
,102,1026,樹德科技大學,1000784,70.81,65464,4.63,153716,10.88,5059,0.36,7432,0.53,2033,0.14,178760,12.65,1413248,100
,102,1027,慈濟大學,311214,22.34,374436,26.88,189332,13.59,394153,28.3,40783,2.93,21807,1.57,61216,4.39,1392941,100
,102,1028,臺北醫學大學,661414,20.09,814023,24.73,334725,10.17,196350,5.97,1134,0.03,1178925,35.82,104892,3.19,3291464,100
,102,1029,中山醫學大學,816852,46.86,235657,13.52,134315,7.71,64812,3.72,294,0.02,366949,21.05,124125,7.12,1743004,100
,102,1030,龍華科技大學,833725,68.46,101049,8.3,204052,16.76,485,0.04,27077,2.22,-,-,51379,4.22,1217767,100
,102,1031,輔英科技大學,850502,73.42,51487,4.44,89761,7.75,742,0.06,4118,0.36,68577,5.92,93233,8.05,1158420,100
,102,1032,明新科技大學,1098775,78.67,70932,5.08,156907,11.23,2818,0.2,6122,0.44,-,-,61159,4.38,1396713,100
,102,1033,長榮大學,915742,71.9,151264,11.88,90389,7.1,17098,1.34,3480,0.27,1377,0.11,94203,7.4,1273555,100
,102,1034,弘光科技大學,1053194,64.56,287177,17.6,186979,11.46,3263,0.2,5950,0.36,7697,0.47,87144,5.34,1631405,100
,102,1035,中國醫藥大學,863986,23.24,563724,15.16,267790,7.2,18750,0.5,1268,0.03,1930048,51.91,72555,1.95,3718119,100
,102,1036,健行科技大學,1072378,76.13,131158,9.31,132014,9.37,915,0.06,16368,1.16,115,0.01,55616,3.95,1408564,100
,102,1037,正修科技大學,1417703,64.32,428252,19.43,274761,12.47,5989,0.27,7368,0.33,-,-,69953,3.17,2204026,100
,102,1038,萬能科技大學,881492,75.59,121180,10.39,115975,9.94,4660,0.4,6537,0.56,-,-,36349,3.12,1166193,100
,102,1039,玄奘大學,464856,70,46071,6.94,84363,12.7,10128,1.53,5521,0.83,497,0.07,52669,7.93,664105,100
,102,1040,建國科技大學,890721,76.26,76888,6.58,135932,11.64,2283,0.2,726,0.06,-,-,61410,5.26,1167960,100
,102,1041,明志科技大學,390403,24.98,138189,8.84,201706,12.91,6207,0.4,24035,1.54,737296,47.18,64774,4.15,1562611,100
,102,1042,高苑科技大學,648300,69.04,78998,8.41,157988,16.82,479,0.05,4073,0.43,351,0.04,48822,5.2,939010,100
,102,1043,大仁科技大學,707945,70.17,82222,8.15,165654,16.42,3064,0.3,4030,0.4,70,0.01,45953,4.55,1008939,100
,102,1044,聖約翰科技大學,609929,71.13,39466,4.6,163002,19.01,7649,0.89,12511,1.46,-,-,24966,2.91,857524,100
,102,1045,嶺東科技大學,908380,79.61,68529,6.01,99480,8.72,3493,0.31,19155,1.68,-,-,42024,3.68,1141062,100
,102,1046,中國科技大學,1023026,79.91,77833,6.08,118808,9.28,1707,0.13,5755,0.45,1172,0.09,51910,4.05,1280211,100
,102,1047,中臺科技大學,784671,73.08,99282,9.25,137739,12.83,650,0.06,1453,0.14,-,-,49985,4.66,1073779,100
,102,1048,亞洲大學,1158372,65.95,220931,12.58,206905,11.78,18080,1.03,9782,0.56,-,-,142256,8.1,1756327,100
,102,1049,開南大學,854983,76.38,82468,7.37,52857,4.72,11610,1.04,1476,0.13,-,-,116057,10.37,1119452,100
,102,1050,佛光大學,198592,30.02,39092,5.91,78839,11.92,296433,44.81,924,0.14,2372,0.36,45226,6.84,661478,100
,102,1051,台南應用科技大學,1169304,81.4,76702,5.34,122665,8.54,1400,0.1,14190,0.99,1123,0.08,51051,3.55,1436434,100
,102,1052,遠東科技大學,874458,72.05,87059,7.17,193973,15.98,4578,0.38,277,0.02,71,0.01,53291,4.39,1213707,100
,102,1053,元培醫事科技大學,681466,75.8,72870,8.11,99042,11.02,1206,0.13,4250,0.47,25,0,40172,4.47,899031,100
,102,1054,景文科技大學,648222,73.67,82186,9.34,105106,11.94,182,0.02,5201,0.59,259,0.03,38767,4.41,879923,100
,102,1055,中華醫事科技大學,740589,76.94,63213,6.57,91682,9.53,620,0.06,548,0.06,845,0.09,65041,6.76,962537,100
,102,1056,東南科技大學,676470,80.06,62686,7.42,72262,8.55,1281,0.15,4158,0.49,1501,0.18,26557,3.14,844914,100
,102,1057,德明財經科技大學,729033,70.2,85929,8.27,158735,15.29,3466,0.33,19254,1.85,15728,1.51,26293,2.53,1038438,100
,102,1058,明道大學,477492,62.09,125118,16.27,86875,11.3,5179,0.67,932,0.12,409,0.05,72982,9.49,768987,100
,102,1059,康寧大學,146261,61.43,14021,5.89,41227,17.32,16168,6.79,832,0.35,-,-,19566,8.22,238076,100
,102,1060,南開科技大學,553998,74.92,34399,4.65,116292,15.73,2805,0.38,4495,0.61,11,0,27442,3.71,739442,100
,102,1061,中華科技大學,781483,77.63,78751,7.82,101994,10.13,797,0.08,733,0.07,-,-,42861,4.26,1006620,100
,102,1062,僑光科技大學,805751,81.3,46102,4.65,88609,8.94,11915,1.2,10414,1.05,-,-,28268,2.85,991060,100
,102,1063,育達科技大學,517407,69.46,70514,9.47,89794,12.05,7591,1.02,8259,1.11,701,0.09,50646,6.8,744913,100
,102,1064,美和科技大學,651333,72.43,104601,11.63,109354,12.16,3285,0.37,874,0.1,3387,0.38,26372,2.93,899206,100
,102,1065,吳鳳科技大學,540548,77.11,33069,4.72,83068,11.85,4075,0.58,706,0.1,-,-,39585,5.65,701051,100
,102,1066,環球科技大學,508181,71.33,41671,5.85,110401,15.5,2730,0.38,436,0.06,270,0.04,48704,6.84,712393,100
,102,1067,台灣首府大學,351734,70.93,11078,2.23,64066,12.92,1383,0.28,899,0.18,27157,5.48,39543,7.97,495861,100
,102,1068,中州科技大學,429515,65.96,111954,17.19,78817,12.1,1236,0.19,1269,0.19,-,-,28427,4.37,651218,100
,102,1069,修平科技大學,645486,78.29,36102,4.38,110729,13.43,3425,0.42,801,0.1,29,0,27925,3.39,824497,100
,102,1070,長庚科技大學,529935,35.06,168374,11.14,121410,8.03,13299,0.88,17338,1.15,550923,36.45,110326,7.3,1511606,100
,102,1071,臺北城市科技大學,869777,83.93,47498,4.58,77245,7.45,2102,0.2,10311,0.99,2375,0.23,27045,2.61,1036354,100
,102,1072,大華科技大學,325327,65.01,90653,18.12,65361,13.06,382,0.08,2347,0.47,63,0.01,16299,3.26,500432,100
,102,1073,醒吾科技大學,701676,79.56,75550,8.57,79933,9.06,1311,0.15,1219,0.14,-,-,22222,2.52,881911,100
,102,1074,南榮科技大學,228774,67.47,21947,6.47,70879,20.9,246,0.07,2255,0.66,45,0.01,14937,4.41,339083,100
,102,1075,文藻外語大學,746526,69.29,88741,8.24,177293,16.46,7135,0.66,6548,0.61,1533,0.14,49548,4.6,1077325,100
,102,1076,華夏科技大學,444807,79.62,26717,4.78,76856,13.76,565,0.1,2030,0.36,-,-,7695,1.38,558670,100
,102,1125,中信金融管理學院,73888,73.98,1659,1.66,19431,19.45,952,0.95,2140,2.14,-,-,1807,1.81,99876,100
,102,1148,大漢技術學院,145160,48.52,15632,5.22,49185,16.44,64606,21.59,3428,1.15,0,0,21183,7.08,299193,100
,102,1150,慈濟技術學院,189048,32.49,65684,11.29,106985,18.38,190961,32.82,920,0.16,1502,0.26,26825,4.61,581926,100
,102,1154,永達技術學院,67388,48.14,33584,23.99,29833,21.31,1612,1.15,149,0.11,-,-,7408,5.29,139974,100
,102,1159,和春技術學院,263829,69.02,22447,5.87,74347,19.45,1728,0.45,1297,0.34,409,0.11,18188,4.76,382244,100
,102,1164,致理技術學院,837151,80.91,49188,4.75,128631,12.43,1614,0.16,5061,0.49,10,0,13057,1.26,1034713,100
,102,1166,亞東技術學院,498693,51.14,43432,4.45,48793,5,1358,0.14,20670,2.12,334010,34.25,28271,2.9,975228,100
,102,1168,桃園創新技術學院,587084,77.1,64284,8.44,81258,10.67,374,0.05,1025,0.13,2,0,27469,3.61,761497,100
,102,1176,稻江科技暨管理學院,208365,67.47,38568,12.49,39786,12.88,2132,0.69,3216,1.04,-,-,16771,5.43,308838,100
,102,1179,德霖技術學院,581622,79.45,35016,4.78,74028,10.11,1727,0.24,18608,2.54,-,-,21058,2.88,732059,100
,102,1182,蘭陽技術學院,236659,71.97,9518,2.89,63630,19.35,244,0.07,266,0.08,-,-,18533,5.64,328850,100
,102,1183,黎明技術學院,359087,79.61,16233,3.6,63172,14.01,331,0.07,236,0.05,0,0,11989,2.66,451047,100
,102,1184,東方設計學院,363630,72.19,41708,8.28,79186,15.72,757,0.15,1737,0.34,-,-,16713,3.32,503731,100
,102,1185,經國管理暨健康學院,347000,77.55,12112,2.71,70320,15.72,686,0.15,3587,0.8,1957,0.44,11785,2.63,447447,100
,102,1187,崇右技術學院,322509,76.03,40558,9.56,49078,11.57,588,0.14,1857,0.44,28,0.01,9544,2.25,424161,100
,102,1188,大同技術學院,242361,73.91,11564,3.53,56645,17.28,834,0.25,904,0.28,-,-,15591,4.75,327898,100
,102,1189,亞太創意技術學院,220470,64.38,41713,12.18,63025,18.4,1521,0.44,48,0.01,219,0.06,15460,4.51,342456,100
,102,1192,臺灣觀光學院,159231,67.69,9798,4.17,47836,20.33,1079,0.46,946,0.4,-,-,16356,6.95,235245,100
,102,1195,馬偕醫學院,46351,8,33586,5.8,30299,5.23,440038,75.94,5553,0.96,6893,1.19,16707,2.88,579427,100
,102,1196,法鼓文理學院,7938,7.61,11710,11.23,1459,1.4,76976,73.81,2850,2.73,-,-,3359,3.22,104291,100
,102,1197,台北海洋技術學院,554651,80.53,24243,3.52,72820,10.57,3080,0.45,1911,0.28,37,0.01,31984,4.64,688726,100
,102,1281,康寧醫護暨管理專科學校,192882,62.66,14155,4.6,59026,19.17,972,0.32,3253,1.06,-,-,37542,12.2,307829,100
,102,1282,馬偕醫護管理專科學校,235288,51.98,35070,7.75,76405,16.88,43587,9.63,5331,1.18,55,0.01,56933,12.58,452670,100
,102,1283,仁德醫護管理專科學校,399246,73.46,20978,3.86,71698,13.19,395,0.07,3309,0.61,-,-,47864,8.81,543490,100
,102,1284,樹人醫護管理專科學校,436025,78.98,4178,0.76,65625,11.89,103,0.02,3601,0.65,-,-,42514,7.7,552045,100
,102,1285,慈惠醫護管理專科學校,378411,70.84,19917,3.73,94440,17.68,2002,0.37,740,0.14,-,-,38637,7.23,534148,100
,102,1286,耕莘健康管理專科學校,307045,65.61,17261,3.69,66182,14.14,427,0.09,1872,0.4,3894,0.83,71338,15.24,468019,100
,102,1287,敏惠醫護管理專科學校,251117,54.31,3917,0.85,168483,36.44,1093,0.24,1030,0.22,-,-,36766,7.95,462407,100
,102,1288,高美醫護管理專科學校,56297,59.62,1325,1.4,26204,27.75,1385,1.47,31,0.03,-,-,9181,9.72,94422,100
,102,1289,育英醫護管理專科學校,128877,71.66,2223,1.24,40501,22.52,1203,0.67,2141,1.19,4,0,4903,2.73,179852,100
,102,1290,崇仁醫護管理專科學校,205626,73.66,1100,0.39,49320,17.67,1065,0.38,1361,0.49,-,-,20669,7.4,279141,100
,102,1291,聖母醫護管理專科學校,246665,69.6,9008,2.54,64808,18.29,8372,2.36,2883,0.81,-,-,22671,6.4,354407,100
,102,1292,新生醫護管理專科學校,358999,75.89,12928,2.73,61761,13.06,3200,0.68,411,0.09,-,-,35777,7.56,473076,100
,102,1R02,基督教台灣浸會神學院,2686,10.53,490,1.92,184,0.72,21321,83.56,709,2.78,-,-,126,0.49,25516,100
,102,1R03,臺北基督學院,9758,17.5,20727,37.18,590,1.06,14024,25.16,286,0.51,-,-,10359,18.58,55744,100
,103,1001,東海大學,1625377,60.12,380920,14.09,282035,10.43,90664,3.35,18314,0.68,119085,4.4,187181,6.92,2703576,100
,103,1002,輔仁大學,2415148,63.78,384215,10.15,464103,12.26,229074,6.05,59242,1.56,10,0,235006,6.21,3786798,100
,103,1003,東吳大學,1382366,65.67,255773,12.15,217081,10.31,88182,4.19,14736,0.7,7770,0.37,139187,6.61,2105095,100
,103,1004,中原大學,1560537,55.37,574890,20.4,363689,12.9,63330,2.25,14928,0.53,2755,0.1,238216,8.45,2818344,100
,103,1005,淡江大學,2426119,66.26,526206,14.37,402486,10.99,107727,2.94,8049,0.22,-,-,190758,5.21,3661346,100
,103,1006,中國文化大學,2156689,58.35,923577,24.99,329703,8.92,31051,0.84,35596,0.96,27676,0.75,191704,5.19,3695995,100
,103,1007,逢甲大學,2043822,55.83,822581,22.47,460866,12.59,87973,2.4,8652,0.24,74826,2.04,162104,4.43,3660824,100
,103,1008,靜宜大學,1121357,64.24,191831,10.99,287871,16.49,8423,0.48,25421,1.46,276,0.02,110392,6.32,1745572,100
,103,1009,長庚大學,605588,15.89,1562764,41.01,376079,9.87,110753,2.91,53359,1.4,956991,25.11,145362,3.81,3810896,100
,103,1010,元智大學,914780,46.86,321621,16.48,250218,12.82,22827,1.17,3101,0.16,344308,17.64,95142,4.87,1951998,100
,103,1011,中華大學,768636,62.41,230937,18.75,133601,10.85,7043,0.57,8876,0.72,-,-,82537,6.7,1231629,100
,103,1012,大葉大學,1092743,65.11,236128,14.07,235484,14.03,8939,0.53,11556,0.69,312,0.02,93198,5.55,1678360,100
