,學年度,學校代碼,學校名稱,學雜費收入,%,推廣及產學收入,%,補助收入,%,受贈收入,%,利息收入,%,投資、基金及附屬機構收益,%,其他收入,%,合計,%
,104,1046,中國科技大學,1083115,79.6,77649,5.71,137047,10.07,2775,0.2,5005,0.37,-,-,55102,4.05,1360692,100
,104,1047,中臺科技大學,773943,71.73,83715,7.76,167470,15.52,1058,0.1,4231,0.39,-,-,48610,4.5,1079026,100
,104,1051,台南應用科技大學,1171942,80.6,76169,5.24,127631,8.78,1158,0.08,15618,1.07,-,-,61498,4.23,1454016,100
,104,1052,遠東科技大學,744097,67.39,97903,8.87,201262,18.23,4217,0.38,3630,0.33,-,-,53004,4.8,1104113,100
,104,1053,元培醫事科技大學,645268,71.1,81796,9.01,124622,13.73,3777,0.42,8567,0.94,-,-,43517,4.8,907549,100
,104,1054,景文科技大學,622154,71.68,82630,9.52,115437,13.3,55,0.01,7561,0.87,-,-,40174,4.63,868011,100
,104,1055,中華醫事科技大學,769235,74.95,56057,5.46,131262,12.79,1554,0.15,2788,0.27,1078,0.11,64382,6.27,1026356,100
,104,1056,東南科技大學,666222,76.84,62139,7.17,94076,10.85,2388,0.28,7504,0.87,-,-,34734,4.01,867063,100
,104,1057,德明財經科技大學,753384,70.78,70200,6.6,156264,14.68,6067,0.57,22685,2.13,27507,2.58,28304,2.66,1064412,100
,104,1060,南開科技大學,545785,73.23,36070,4.84,126923,17.03,1446,0.19,7579,1.02,-,-,27507,3.69,745311,100
,104,1061,中華科技大學,716080,77.37,43377,4.69,126797,13.7,140,0.02,731,0.08,-,-,38427,4.15,925553,100
,104,1062,僑光科技大學,828236,78.27,45153,4.27,136215,12.87,1729,0.16,17919,1.69,-,-,28932,2.73,1058183,100
,104,1063,育達科技大學,421314,68.47,39023,6.34,110686,17.99,2640,0.43,10037,1.63,-,-,31624,5.14,615324,100
,104,1064,美和科技大學,655830,74.85,67623,7.72,114260,13.04,5277,0.6,2769,0.32,1678,0.19,28741,3.28,876178,100
,104,1065,吳鳳科技大學,516708,75.07,29934,4.35,93154,13.53,6476,0.94,2201,0.32,-,-,39846,5.79,688318,100
,104,1066,環球科技大學,496493,53.42,33225,3.58,121478,13.07,2044,0.22,870,0.09,1679,0.18,273557,29.44,929345,100
,104,1068,中州科技大學,320983,54.32,108328,18.33,128825,21.8,2413,0.41,2788,0.47,-,-,27533,4.66,590869,100
,104,1069,修平科技大學,624196,75.14,29321,3.53,135768,16.34,5042,0.61,5109,0.62,-,-,31221,3.76,830657,100
,104,1070,長庚科技大學,532722,30.83,192444,11.14,165392,9.57,349,0.02,14722,0.85,705333,40.81,117223,6.78,1728185,100
,104,1071,臺北城市科技大學,859859,80.44,50930,4.76,107666,10.07,3568,0.33,13957,1.31,-,-,32955,3.08,1068935,100
,104,1072,大華科技大學,283016,59.92,101497,21.49,67767,14.35,488,0.1,802,0.17,-,-,18730,3.97,472300,100
,104,1073,醒吾科技大學,741866,76.92,76656,7.95,119874,12.43,1014,0.11,2288,0.24,-,-,22729,2.36,964427,100
,104,1074,南榮科技大學,259613,71.94,17859,4.95,64687,17.92,1752,0.49,2267,0.63,-,-,14701,4.07,360879,100
,104,1075,文藻外語大學,766202,70.52,99802,9.19,146618,13.49,8146,0.75,6980,0.64,377,0.03,58394,5.37,1086520,100
,104,1076,華夏科技大學,430059,73.52,34688,5.93,109606,18.74,352,0.06,3044,0.52,-,-,7197,1.23,584948,100
,104,1077,慈濟科技大學,205027,32.29,68833,10.84,93753,14.77,236294,37.22,963,0.15,8,0,29992,4.72,634870,100
,104,1148,大漢技術學院,110077,52.32,6201,2.95,42113,20.01,35933,17.08,4455,2.12,0,0,11630,5.53,210409,100
,104,1159,和春技術學院,250991,71.97,26319,7.55,52033,14.92,239,0.07,2899,0.83,-,-,16267,4.66,348749,100
,104,1164,致理技術學院,859348,78.53,56466,5.16,143014,13.07,1891,0.17,7584,0.69,-,-,25974,2.37,1094276,100
,104,1166,亞東技術學院,461609,51.58,39985,4.47,73434,8.21,1770,0.2,25588,2.86,265175,29.63,27337,3.05,894897,100
,104,1168,南亞技術學院,452594,69.55,58327,8.96,79650,12.24,1289,0.2,1228,0.19,-,-,57636,8.86,650724,100
,104,1179,德霖技術學院,543168,74.4,45309,6.21,103645,14.2,1240,0.17,16129,2.21,-,-,20592,2.82,730082,100
,104,1182,蘭陽技術學院,146061,45.45,11917,3.71,50772,15.8,97326,30.28,754,0.23,-,-,14539,4.52,321370,100
,104,1183,黎明技術學院,368854,64.72,16230,2.85,80659,14.15,90239,15.83,1323,0.23,-,-,12616,2.21,569920,100
,104,1184,東方設計學院,355773,72.18,32442,6.58,84107,17.06,1098,0.22,3047,0.62,-,-,16463,3.34,492930,100
,104,1185,經國管理暨健康學院,361427,72.7,17625,3.55,93019,18.71,2423,0.49,3836,0.77,5499,1.11,13343,2.68,497172,100
,104,1187,崇右技術學院,306085,73.84,45236,10.91,50862,12.27,927,0.22,2769,0.67,-,-,8646,2.09,414525,100
,104,1188,大同技術學院,200248,72.71,8546,3.1,52099,18.92,506,0.18,1621,0.59,-,-,12400,4.5,275420,100
,104,1189,亞太創意技術學院,132807,56.37,23118,9.81,64635,27.43,551,0.23,436,0.19,-,-,14067,5.97,235615,100
,104,1192,臺灣觀光學院,114496,63.15,10378,5.72,37683,20.79,2045,1.13,1544,0.85,-,-,15149,8.36,181294,100
,104,1197,台北海洋技術學院,569477,78.3,28436,3.91,98739,13.58,947,0.13,2353,0.32,-,-,27313,3.76,727264,100
,104,1282,馬偕醫護管理專科學校,276309,52.38,39801,7.55,73661,13.96,70825,13.43,6608,1.25,2374,0.45,57928,10.98,527506,100
,104,1283,仁德醫護管理專科學校,398690,71.23,11043,1.97,85722,15.32,929,0.17,5251,0.94,2133,0.38,55934,9.99,559700,100
,104,1284,樹人醫護管理專科學校,458793,73.26,4693,0.75,96284,15.38,3104,0.5,5227,0.83,-,-,58113,9.28,626215,100
,104,1285,慈惠醫護管理專科學校,385626,70.81,21698,3.98,103119,18.93,2245,0.41,1708,0.31,-,-,30230,5.55,544626,100
,104,1286,耕莘健康管理專科學校,325522,62.97,27218,5.27,81034,15.68,1282,0.25,3051,0.59,5496,1.06,73327,14.19,516931,100
,104,1287,敏惠醫護管理專科學校,255054,51.3,7215,1.45,195056,39.23,1164,0.23,1861,0.37,-,-,36842,7.41,497192,100
,104,1288,高美醫護管理專科學校,50233,54.99,1020,1.12,30468,33.35,109,0.12,33,0.04,-,-,9491,10.39,91354,100
,104,1289,育英醫護管理專科學校,127935,65.98,2579,1.33,55953,28.86,577,0.3,1575,0.81,-,-,5279,2.72,193897,100
,104,1290,崇仁醫護管理專科學校,215400,69.53,4450,1.44,61449,19.84,1730,0.56,1798,0.58,-,-,24968,8.06,309796,100
,104,1291,聖母醫護管理專科學校,231933,67.7,5853,1.71,69796,20.37,6347,1.85,3852,1.12,-,-,24814,7.24,342596,100
,104,1292,新生醫護管理專科學校,375829,74.49,16569,3.28,73367,14.54,220,0.04,892,0.18,-,-,37641,7.46,504518,100
