學年度,設立別,學校類別,學校統計處代碼,學校名稱,學制班別,畢業總人數,畢業生修讀學術倫理教育課程人數,學位論文不公開件數,學位論文考試委員人次-符合各學位考試委員職級之教師或院士,學位論文考試委員人次-有博士學位且學術有成就,學位論文考試委員人次-屬稀少或特殊性考試委員
108,公立,技專校院,0042,國立澎湖科技大學,碩士在職專班,14,7,0,47,0,0
108,公立,技專校院,0042,國立澎湖科技大學,碩士班(日間),24,9,0,77,0,0
108,公立,技專校院,0043,國立勤益科技大學,碩士班(日間),249,181,0,860,29,0
108,公立,技專校院,0043,國立勤益科技大學,博士班,6,0,0,29,4,0
108,公立,技專校院,0043,國立勤益科技大學,碩士在職專班,100,0,0,320,9,0
108,公立,一般大學,0044,國立體育大學,碩士班(日間),106,106,0,274,91,8
108,公立,一般大學,0044,國立體育大學,博士班,17,17,0,70,4,1
108,公立,一般大學,0044,國立體育大學,碩士在職專班,40,40,0,99,14,0
108,公立,技專校院,0046,國立臺北護理健康大學,碩士班(日間),136,72,0,393,11,9
108,公立,技專校院,0046,國立臺北護理健康大學,博士班,10,1,0,46,4,0
108,公立,技專校院,0046,國立臺北護理健康大學,碩士在職專班,37,17,0,114,0,0
108,公立,技專校院,0047,國立高雄餐旅大學,碩士班(日間),59,55,0,163,3,5
108,公立,技專校院,0047,國立高雄餐旅大學,博士班,2,0,0,10,0,0
108,公立,技專校院,0047,國立高雄餐旅大學,碩士在職專班,13,12,0,37,0,0
108,公立,一般大學,0048,國立金門大學,碩士在職專班,28,28,0,89,5,0
108,公立,一般大學,0048,國立金門大學,碩士班(日間),54,54,0,183,2,0
108,公立,一般大學,0049,國立臺灣體育運動大學,碩士班(日間),44,27,0,101,28,0
108,公立,一般大學,0049,國立臺灣體育運動大學,碩士在職專班,32,23,0,58,34,0
108,公立,技專校院,0050,國立臺中科技大學,碩士班(日間),128,128,0,391,9,1
108,公立,技專校院,0050,國立臺中科技大學,碩士在職專班,66,66,0,197,0,0
108,公立,技專校院,0051,國立臺北商業大學,碩士班(日間),117,117,35,337,49,1
108,公立,技專校院,0051,國立臺北商業大學,碩士在職專班,10,10,4,30,0,0
108,公立,一般大學,0052,國立屏東大學,碩士在職專班,150,139,0,446,4,0
108,公立,一般大學,0052,國立屏東大學,博士班,6,4,0,31,0,0
108,公立,一般大學,0052,國立屏東大學,碩士班(日間),270,242,0,782,9,0
108,公立,技專校院,0053,國立高雄科技大學,博士班,61,61,0,337,24,2
108,公立,技專校院,0053,國立高雄科技大學,碩士在職專班,723,574,0,2417,0,90
108,公立,技專校院,0053,國立高雄科技大學,碩士班(日間),1005,996,0,3445,164,28
108,私立,一般大學,1001,東海大學,碩士班(日間),360,212,0,1227,13,27
108,私立,一般大學,1001,東海大學,博士班,24,0,0,119,1,1
108,私立,一般大學,1001,東海大學,碩士在職專班,182,107,0,567,4,0
108,私立,一般大學,1002,輔仁大學,碩士在職專班,432,323,0,1341,5,0
108,私立,一般大學,1002,輔仁大學,碩士班(日間),578,408,0,1856,3,4
108,私立,一般大學,1002,輔仁大學,博士班,34,2,0,183,6,0
108,私立,一般大學,1003,東吳大學,碩士在職專班,233,164,0,701,0,42
108,私立,一般大學,1003,東吳大學,碩士班(日間),316,265,0,973,4,6
108,私立,一般大學,1003,東吳大學,博士班,11,3,0,54,1,0
108,私立,一般大學,1004,中原大學,博士班,45,45,0,218,28,2
108,私立,一般大學,1004,中原大學,碩士在職專班,243,243,1,713,29,28
108,私立,一般大學,1004,中原大學,碩士班(日間),590,583,0,1784,57,45
108,私立,一般大學,1005,淡江大學學校財團法人淡江大學,碩士在職專班,285,241,0,850,5,0
108,私立,一般大學,1005,淡江大學學校財團法人淡江大學,博士班,45,9,0,230,9,1
108,私立,一般大學,1005,淡江大學學校財團法人淡江大學,碩士班(日間),632,513,0,1865,15,16
108,私立,一般大學,1006,中國文化大學,碩士班(日間),326,265,0,1019,1,21
108,私立,一般大學,1006,中國文化大學,博士班,38,15,0,203,1,0
108,私立,一般大學,1006,中國文化大學,碩士在職專班,160,125,0,502,7,0
108,私立,一般大學,1007,逢甲大學,碩士在職專班,365,365,1,1085,18,5
108,私立,一般大學,1007,逢甲大學,碩士班(日間),639,639,0,1883,77,16
108,私立,一般大學,1007,逢甲大學,博士班,63,63,0,338,13,0
108,私立,一般大學,1008,靜宜大學,碩士在職專班,78,78,0,240,3,0
108,私立,一般大學,1008,靜宜大學,博士班,7,7,0,38,0,1
108,私立,一般大學,1008,靜宜大學,碩士班(日間),167,167,0,513,9,0
108,私立,一般大學,1009,長庚大學,碩士在職專班,80,60,0,231,3,7
108,私立,一般大學,1009,長庚大學,博士班,62,10,0,281,35,4
108,私立,一般大學,1009,長庚大學,碩士班(日間),349,309,0,1074,22,8
108,私立,一般大學,1010,元智大學,碩士班(日間),286,286,0,901,48,0
108,私立,一般大學,1010,元智大學,碩士在職專班,145,145,0,417,29,0
108,私立,一般大學,1010,元智大學,博士班,38,38,0,178,9,0
108,私立,一般大學,1011,中華大學學校財團法人中華大學,博士班,23,23,0,123,2,0
108,私立,一般大學,1011,中華大學學校財團法人中華大學,碩士班(日間),217,217,0,683,10,0
108,私立,一般大學,1011,中華大學學校財團法人中華大學,碩士在職專班,74,74,0,222,1,0
108,私立,一般大學,1012,大葉大學,碩士班(日間),295,266,1,831,57,21
108,私立,一般大學,1012,大葉大學,博士班,18,3,0,93,8,0
108,私立,一般大學,1012,大葉大學,碩士在職專班,245,235,0,689,65,0
108,私立,一般大學,1013,華梵大學,碩士班(日間),42,33,0,113,14,0
108,私立,一般大學,1013,華梵大學,碩士在職專班,33,31,0,99,0,0
108,私立,一般大學,1013,華梵大學,博士班,10,3,0,52,0,0
108,私立,一般大學,1014,義守大學,碩士班(日間),128,124,0,383,15,4
108,私立,一般大學,1014,義守大學,博士班,16,9,0,81,5,0
108,私立,一般大學,1014,義守大學,碩士在職專班,141,39,0,436,34,0
108,私立,一般大學,1015,世新大學,碩士在職專班,211,184,0,648,6,4
108,私立,一般大學,1015,世新大學,碩士班(日間),188,165,0,583,41,11
108,私立,一般大學,1015,世新大學,博士班,15,6,0,76,0,0
108,私立,一般大學,1016,銘傳大學,碩士班(日間),252,229,0,767,3,0
108,私立,一般大學,1016,銘傳大學,博士班,11,1,0,56,0,0
108,私立,一般大學,1016,銘傳大學,碩士在職專班,259,245,0,808,3,1
108,私立,一般大學,1017,實踐大學,碩士班(日間),105,105,0,315,7,7
108,私立,一般大學,1017,實踐大學,博士班,2,2,0,10,0,2
108,私立,一般大學,1017,實踐大學,碩士在職專班,34,34,0,102,1,0
108,私立,技專校院,1018,朝陽科技大學,碩士在職專班,106,106,0,345,5,0
108,私立,技專校院,1018,朝陽科技大學,碩士班(日間),230,183,0,744,13,0
108,私立,技專校院,1018,朝陽科技大學,博士班,13,2,0,67,2,0
108,私立,一般大學,1019,高雄醫學大學,碩士在職專班,59,50,0,177,0,0
108,私立,一般大學,1019,高雄醫學大學,碩士班(日間),223,186,0,666,3,0
108,私立,一般大學,1019,高雄醫學大學,博士班,41,0,0,202,3,0
108,私立,一般大學,1020,南華大學,博士班,4,4,0,24,0,0
108,私立,一般大學,1020,南華大學,碩士在職專班,136,133,0,410,0,0
108,私立,一般大學,1020,南華大學,碩士班(日間),219,219,0,659,6,0
108,私立,一般大學,1021,真理大學,碩士在職專班,9,9,0,12,15,0
108,私立,一般大學,1021,真理大學,碩士班(日間),30,27,0,69,22,1
108,私立,一般大學,1022,大同大學,博士班,7,3,0,36,1,0
108,私立,一般大學,1022,大同大學,碩士在職專班,48,40,0,114,2,1
108,私立,一般大學,1022,大同大學,碩士班(日間),124,122,0,368,13,9
108,私立,技專校院,1023,南臺學校財團法人南臺科技大學,博士班,6,2,0,29,1,0
108,私立,技專校院,1023,南臺學校財團法人南臺科技大學,碩士在職專班,126,116,0,373,5,0
108,私立,技專校院,1023,南臺學校財團法人南臺科技大學,碩士班(日間),230,207,0,677,18,3
108,私立,技專校院,1024,崑山科技大學,碩士班(日間),110,79,0,291,45,0
108,私立,技專校院,1024,崑山科技大學,博士班,7,4,0,34,2,0
108,私立,技專校院,1024,崑山科技大學,碩士在職專班,65,62,0,163,33,0
108,私立,技專校院,1025,嘉藥學校財團法人嘉南藥理大學,碩士班(日間),92,89,0,268,18,0
108,私立,技專校院,1025,嘉藥學校財團法人嘉南藥理大學,碩士在職專班,94,86,0,289,8,0
108,私立,技專校院,1026,樹德科技大學,碩士在職專班,177,104,0,559,0,0
108,私立,技專校院,1026,樹德科技大學,博士班,1,0,0,4,1,0
108,私立,技專校院,1026,樹德科技大學,碩士班(日間),57,34,0,176,0,0
108,私立,一般大學,1027,慈濟學校財團法人慈濟大學,碩士班(日間),100,80,0,307,2,0
108,私立,一般大學,1027,慈濟學校財團法人慈濟大學,碩士在職專班,12,9,0,36,0,0
108,私立,一般大學,1027,慈濟學校財團法人慈濟大學,博士班,15,7,0,73,5,0
108,私立,一般大學,1028,臺北醫學大學,博士班,66,49,0,331,15,0
108,私立,一般大學,1028,臺北醫學大學,碩士班(日間),251,251,0,833,13,1
108,私立,一般大學,1028,臺北醫學大學,碩士在職專班,80,79,0,253,0,0
108,私立,一般大學,1029,中山醫學大學,碩士班(日間),173,161,0,488,3,1
108,私立,一般大學,1029,中山醫學大學,博士班,44,17,0,224,0,0
108,私立,一般大學,1029,中山醫學大學,碩士在職專班,74,71,0,275,3,0
108,私立,技專校院,1030,龍華科技大學,碩士班(日間),76,76,0,255,17,2
108,私立,技專校院,1030,龍華科技大學,碩士在職專班,27,27,0,65,23,1
108,私立,技專校院,1031,輔英科技大學,碩士在職專班,35,2,0,1,107,0
108,私立,技專校院,1031,輔英科技大學,碩士班(日間),36,25,0,124,3,0
108,私立,技專校院,1032,明新學校財團法人明新科技大學,碩士班(日間),75,53,1,207,23,0
108,私立,技專校院,1032,明新學校財團法人明新科技大學,碩士在職專班,108,85,1,307,17,0
108,私立,一般大學,1033,長榮大學,碩士班(日間),100,83,0,297,3,0
108,私立,一般大學,1033,長榮大學,博士班,6,3,0,24,0,0
108,私立,一般大學,1033,長榮大學,碩士在職專班,34,29,0,88,14,0
108,私立,技專校院,1034,弘光科技大學,碩士在職專班,30,30,0,93,0,4
108,私立,技專校院,1034,弘光科技大學,碩士班(日間),53,53,0,168,0,10
108,私立,技專校院,1034,弘光科技大學,博士班,1,1,0,3,2,0
108,私立,一般大學,1035,中國醫藥大學,碩士在職專班,30,30,0,65,24,3
108,私立,一般大學,1035,中國醫藥大學,博士班,65,65,0,319,12,0
108,私立,一般大學,1035,中國醫藥大學,碩士班(日間),202,202,0,522,117,16
108,私立,技專校院,1036,健行學校財團法人健行科技大學,碩士班(日間),125,115,0,380,4,0
108,私立,技專校院,1036,健行學校財團法人健行科技大學,碩士在職專班,14,11,0,42,0,0
108,私立,技專校院,1037,正修學校財團法人正修科技大學,碩士班(日間),116,100,11,290,84,5
108,私立,技專校院,1037,正修學校財團法人正修科技大學,碩士在職專班,85,85,10,261,0,0
108,私立,技專校院,1037,正修學校財團法人正修科技大學,博士班,2,2,0,10,0,0
108,私立,技專校院,1038,萬能學校財團法人萬能科技大學,碩士在職專班,62,62,0,125,0,0
108,私立,技專校院,1038,萬能學校財團法人萬能科技大學,碩士班(日間),27,27,0,74,3,0
108,私立,一般大學,1039,玄奘大學,博士班,1,0,0,5,0,0
108,私立,一般大學,1039,玄奘大學,碩士班(日間),46,20,0,74,69,1
108,私立,一般大學,1039,玄奘大學,碩士在職專班,33,17,0,58,39,4
108,私立,技專校院,1040,建國科技大學,碩士班(日間),58,56,0,151,18,0
108,私立,技專校院,1041,明志科技大學,碩士班(日間),170,140,0,503,34,1
108,私立,技專校院,1041,明志科技大學,碩士在職專班,8,0,0,23,1,0
108,私立,技專校院,1042,高苑科技大學,碩士在職專班,67,21,0,194,7,0
108,私立,技專校院,1042,高苑科技大學,碩士班(日間),22,20,0,61,8,0
108,私立,技專校院,1043,大仁科技大學,碩士班(日間),25,19,0,73,2,0
108,私立,技專校院,1043,大仁科技大學,碩士在職專班,74,72,0,183,41,0
108,私立,技專校院,1044,聖約翰科技大學,碩士在職專班,30,30,0,91,0,0
108,私立,技專校院,1044,聖約翰科技大學,碩士班(日間),31,19,0,94,0,0
108,私立,技專校院,1045,嶺東科技大學,碩士班(日間),63,57,0,187,2,0
108,私立,技專校院,1045,嶺東科技大學,碩士在職專班,56,55,0,168,0,0
108,私立,技專校院,1046,中國科技大學,碩士班(日間),45,38,0,132,0,0
108,私立,技專校院,1046,中國科技大學,碩士在職專班,34,28,0,102,0,0
108,私立,技專校院,1047,中臺科技大學,碩士在職專班,97,97,0,285,6,0
108,私立,技專校院,1047,中臺科技大學,博士班,4,4,0,14,6,0
108,私立,技專校院,1047,中臺科技大學,碩士班(日間),22,22,0,66,1,1
108,私立,一般大學,1048,亞洲大學,碩士班(日間),169,121,0,493,7,0
108,私立,一般大學,1048,亞洲大學,博士班,31,21,0,157,1,0
108,私立,一般大學,1048,亞洲大學,碩士在職專班,209,173,0,626,4,3
108,私立,一般大學,1049,開南大學,碩士班(日間),65,64,8,207,3,0
108,私立,一般大學,1049,開南大學,碩士在職專班,144,143,8,426,0,6
108,私立,一般大學,1050,佛光大學,碩士在職專班,64,64,0,192,0,0
108,私立,一般大學,1050,佛光大學,博士班,6,6,0,29,0,1
108,私立,一般大學,1050,佛光大學,碩士班(日間),124,124,0,374,4,0
108,私立,技專校院,1051,台南家專學校財團法人台南應用科技大學,碩士在職專班,28,24,0,71,10,0
108,私立,技專校院,1051,台南家專學校財團法人台南應用科技大學,碩士班(日間),21,20,0,66,1,0
108,私立,技專校院,1052,遠東科技大學,碩士在職專班,6,6,0,18,0,0
108,私立,技專校院,1052,遠東科技大學,碩士班(日間),95,78,0,307,0,0
108,私立,技專校院,1053,光宇學校財團法人元培醫事科技大學,碩士班(日間),60,60,0,178,4,1
108,私立,技專校院,1053,光宇學校財團法人元培醫事科技大學,碩士在職專班,21,21,0,63,0,0
108,私立,技專校院,1054,景文科技大學,碩士班(日間),14,14,0,42,0,0
108,私立,技專校院,1054,景文科技大學,碩士在職專班,11,11,0,33,0,0
108,私立,技專校院,1055,中華醫事科技大學,碩士班(日間),26,26,0,85,0,0
108,私立,技專校院,1055,中華醫事科技大學,碩士在職專班,10,10,0,30,0,0
108,私立,技專校院,1056,東南科技大學,碩士班(日間),51,51,0,154,0,0
108,私立,技專校院,1056,東南科技大學,碩士在職專班,21,21,0,63,0,0
108,私立,技專校院,1057,德明財經科技大學,碩士班(日間),10,0,0,37,0,0
108,私立,技專校院,1057,德明財經科技大學,碩士在職專班,19,0,0,44,0,0
108,私立,一般大學,1058,明道學校財團法人明道大學,碩士班(日間),37,2,0,111,0,0
108,私立,一般大學,1058,明道學校財團法人明道大學,碩士在職專班,17,1,0,59,0,0
108,私立,一般大學,1058,明道學校財團法人明道大學,博士班,3,2,0,15,0,0
108,私立,技專校院,1060,南開科技大學,碩士班(日間),36,35,0,62,27,0
108,私立,技專校院,1060,南開科技大學,碩士在職專班,38,38,0,102,0,0
108,私立,技專校院,1061,中華學校財團法人中華科技大學,碩士班(日間),68,67,0,44,162,0
108,私立,技專校院,1061,中華學校財團法人中華科技大學,碩士在職專班,40,40,1,48,69,3
108,私立,技專校院,1062,僑光科技大學,碩士班(日間),18,18,0,36,26,0
108,私立,技專校院,1062,僑光科技大學,碩士在職專班,10,10,0,36,0,0
108,私立,技專校院,1063,廣亞學校財團法人育達科技大學,碩士班(日間),34,34,0,104,0,0
108,私立,技專校院,1063,廣亞學校財團法人育達科技大學,碩士在職專班,46,46,0,137,3,0
108,私立,技專校院,1064,美和學校財團法人美和科技大學,碩士在職專班,56,56,0,168,0,0
108,私立,技專校院,1064,美和學校財團法人美和科技大學,碩士班(日間),30,30,0,90,0,0
108,私立,技專校院,1065,吳鳳科技大學,碩士班(日間),23,23,0,61,9,0
108,私立,技專校院,1065,吳鳳科技大學,碩士在職專班,35,35,0,91,18,0
108,私立,技專校院,1066,環球學校財團法人環球科技大學,碩士班(日間),28,25,0,61,18,0
108,私立,技專校院,1066,環球學校財團法人環球科技大學,碩士在職專班,11,9,0,9,24,0
108,私立,一般大學,1067,台灣首府學校財團法人台灣首府大學,碩士班(日間),17,17,0,55,0,0
108,私立,技專校院,1068,中州學校財團法人中州科技大學,碩士在職專班,28,28,0,28,0,0
108,私立,技專校院,1068,中州學校財團法人中州科技大學,碩士班(日間),8,6,0,16,0,0
108,私立,技專校院,1069,修平學校財團法人修平科技大學,碩士在職專班,3,3,0,9,0,0
108,私立,技專校院,1069,修平學校財團法人修平科技大學,碩士班(日間),22,22,0,36,33,0
108,私立,技專校院,1070,長庚學校財團法人長庚科技大學,碩士班(日間),16,16,0,52,0,0
108,私立,技專校院,1070,長庚學校財團法人長庚科技大學,碩士在職專班,28,28,0,75,1,11
108,私立,技專校院,1071,城市學校財團法人臺北城市科技大學,碩士班(日間),21,0,0,30,33,0
108,私立,技專校院,1072,大華學校財團法人敏實科技大學,碩士班(日間),1,0,1,3,0,0
108,私立,技專校院,1073,醒吾學校財團法人醒吾科技大學,碩士在職專班,40,36,0,0,120,0
108,私立,技專校院,1073,醒吾學校財團法人醒吾科技大學,碩士班(日間),19,17,0,0,58,0
108,私立,技專校院,1075,文藻學校財團法人文藻外語大學,碩士班(日間),24,16,0,70,1,3
108,私立,技專校院,1075,文藻學校財團法人文藻外語大學,碩士在職專班,8,6,0,24,0,0
108,私立,技專校院,1076,華夏學校財團法人華夏科技大學,碩士班(日間),7,6,5,21,0,0
108,私立,技專校院,1076,華夏學校財團法人華夏科技大學,碩士在職專班,23,23,0,31,37,1
108,私立,技專校院,1077,慈濟學校財團法人慈濟科技大學,碩士班(日間),10,9,0,32,0,0
108,私立,技專校院,1078,致理學校財團法人致理科技大學,碩士班(日間),18,18,0,32,27,0
108,私立,技專校院,1078,致理學校財團法人致理科技大學,碩士在職專班,19,19,0,0,57,0
108,私立,一般大學,1079,康寧學校財團法人康寧大學,碩士在職專班,23,23,0,73,0,0
108,私立,一般大學,1079,康寧學校財團法人康寧大學,碩士班(日間),15,15,0,48,0,0
108,私立,技專校院,1081,東方學校財團法人東方設計大學,博士班,2,2,0,10,0,0
108,私立,技專校院,1081,東方學校財團法人東方設計大學,碩士班(日間),44,44,0,147,38,0
108,私立,技專校院,1081,東方學校財團法人東方設計大學,碩士在職專班,25,25,0,80,0,0
108,私立,技專校院,1082,崇右學校財團法人崇右影藝科技大學,碩士班(日間),32,0,0,99,15,0
108,私立,技專校院,1083,台北海洋學校財團法人台北海洋科技大學,碩士班(日間),38,38,6,94,23,0
108,私立,一般大學,1125,中信學校財團法人中信金融管理學院,碩士班(日間),28,28,0,84,0,0
108,私立,技專校院,1148,大漢技術學院,碩士班(日間),21,0,0,67,67,0
108,私立,技專校院,1159,和春技術學院,碩士班(日間),3,3,0,10,0,0
108,私立,技專校院,1166,亞東技術學院,碩士班(日間),10,9,0,28,3,2
108,私立,技專校院,1168,南亞科技學校財團法人南亞技術學院,碩士班(日間),9,6,0,25,2,0
