,學年度,設立別 ,學校類別,學校代碼,學校名稱,系所代碼,系所名稱,學制,男,女,總計
,101,公立,一般大學,3,國立臺灣大學,220320,日本語文學系,學士班(日間),10,28,38
,101,公立,一般大學,3,國立臺灣大學,220901,歷史學系,學士班(日間),11,14,25
,101,公立,一般大學,3,國立臺灣大學,220901,歷史學系,學士班(進修),3,1,4
,101,公立,一般大學,3,國立臺灣大學,221001,人類學系,學士班(日間),3,6,9
,101,公立,一般大學,3,國立臺灣大學,221101,哲學系,學士班(日間),12,15,27
,101,公立,一般大學,3,國立臺灣大學,310101,經濟學系,學士班(日間),33,27,60
,101,公立,一般大學,3,國立臺灣大學,310201,政治學系公共行政組,學士班(日間),8,9,17
,101,公立,一般大學,3,國立臺灣大學,310201,政治學系政治理論組,學士班(日間),9,9,18
,101,公立,一般大學,3,國立臺灣大學,310201,政治學系國際關係組,學士班(日間),9,18,27
,101,公立,一般大學,3,國立臺灣大學,310301,社會學系,學士班(日間),5,8,13
,101,公立,一般大學,3,國立臺灣大學,310501,心理學系,學士班(日間),11,10,21
,101,公立,一般大學,3,國立臺灣大學,310602,地理環境資源學系,學士班(日間),9,3,12
,101,公立,一般大學,3,國立臺灣大學,320602,圖書資訊學系,學士班(日間),7,9,16
,101,公立,一般大學,3,國立臺灣大學,340201,會計學系,學士班(日間),14,16,30
,101,公立,一般大學,3,國立臺灣大學,340301,企業管理學系,學士班(進修),1,0,1
,101,公立,一般大學,3,國立臺灣大學,340302,工商管理學系企業管理組,學士班(日間),11,21,32
,101,公立,一般大學,3,國立臺灣大學,340302,工商管理學系科技管理組,學士班(日間),16,8,24
,101,公立,一般大學,3,國立臺灣大學,340307,國際企業學系,學士班(日間),17,12,29
,101,公立,一般大學,3,國立臺灣大學,340501,財務金融學系,學士班(日間),19,23,42
,101,公立,一般大學,3,國立臺灣大學,380101,法律學系司法組,學士班(日間),5,4,9
,101,公立,一般大學,3,國立臺灣大學,380101,法律學系法學組,學士班(日間),13,8,21
,101,公立,一般大學,3,國立臺灣大學,380101,法律學系財經法學組,學士班(日間),8,5,13
,101,公立,一般大學,3,國立臺灣大學,380101,法律學系,學士班(進修),2,2,4
