學年度,設立別,學校類別,學校統計處代碼,學校名稱,學制班別,畢業生數小計,畢業生數男,畢業生數女,畢業生取得輔系資格人數小計,畢業生取得輔系資格人數男,畢業生取得輔系資格人數女,畢業生取得雙主修資格人數小計,畢業生取得雙主修資格人數男,畢業生取得雙主修資格人數女
105,公立,一般大學,0018,國立嘉義大學,碩士班(日間),430,225,205,...,...,...,...,...,...
105,公立,一般大學,0018,國立嘉義大學,碩士在職專班,343,157,186,...,...,...,...,...,...
105,公立,一般大學,0018,國立嘉義大學,博士班,28,11,17,...,...,...,...,...,...
105,公立,一般大學,0019,國立高雄大學,學士班(日間),967,556,411,...,...,...,...,...,...
105,公立,一般大學,0019,國立高雄大學,學士班(進修),43,32,11,...,...,...,...,...,...
105,公立,一般大學,0019,國立高雄大學,碩士班(日間),206,151,55,...,...,...,...,...,...
105,公立,一般大學,0019,國立高雄大學,碩士在職專班,101,61,40,...,...,...,...,...,...
105,公立,一般大學,0019,國立高雄大學,博士班,2,1,1,...,...,...,...,...,...
105,公立,一般大學,0020,國立東華大學,學士班(日間),1632,750,882,...,...,...,...,...,...
105,公立,一般大學,0020,國立東華大學,碩士班(日間),458,253,205,...,...,...,...,...,...
105,公立,一般大學,0020,國立東華大學,碩士在職專班,138,57,81,...,...,...,...,...,...
105,公立,一般大學,0020,國立東華大學,博士班,37,20,17,...,...,...,...,...,...
105,公立,一般大學,0021,國立暨南國際大學,學士班(日間),954,435,519,...,...,...,...,...,...
105,公立,一般大學,0021,國立暨南國際大學,碩士班(日間),308,182,126,...,...,...,...,...,...
105,公立,一般大學,0021,國立暨南國際大學,碩士在職專班,135,79,56,...,...,...,...,...,...
105,公立,一般大學,0021,國立暨南國際大學,博士班,37,18,19,...,...,...,...,...,...
105,公立,技專校院,0022,國立臺灣科技大學,學士班(日間),1210,815,395,...,...,...,...,...,...
105,公立,技專校院,0022,國立臺灣科技大學,學士班(進修),14,6,8,...,...,...,...,...,...
105,公立,技專校院,0022,國立臺灣科技大學,碩士班(日間),1300,906,394,...,...,...,...,...,...
105,公立,技專校院,0022,國立臺灣科技大學,碩士在職專班,245,168,77,...,...,...,...,...,...
105,公立,技專校院,0022,國立臺灣科技大學,博士班,113,89,24,...,...,...,...,...,...
105,公立,技專校院,0023,國立雲林科技大學,學士班(日間),1500,863,637,...,...,...,...,...,...
105,公立,技專校院,0023,國立雲林科技大學,碩士班(日間),760,484,276,...,...,...,...,...,...
105,公立,技專校院,0023,國立雲林科技大學,碩士在職專班,236,119,117,...,...,...,...,...,...
105,公立,技專校院,0023,國立雲林科技大學,博士班,35,23,12,...,...,...,...,...,...
105,公立,技專校院,0024,國立屏東科技大學,學士班(日間),1743,888,855,...,...,...,...,...,...
105,公立,技專校院,0024,國立屏東科技大學,學士班(進修),309,141,168,...,...,...,...,...,...
105,公立,技專校院,0024,國立屏東科技大學,碩士班(日間),448,271,177,...,...,...,...,...,...
105,公立,技專校院,0024,國立屏東科技大學,碩士在職專班,143,98,45,...,...,...,...,...,...
105,公立,技專校院,0024,國立屏東科技大學,博士班,27,16,11,...,...,...,...,...,...
105,公立,技專校院,0025,國立臺北科技大學,學士班(日間),1356,954,402,...,...,...,...,...,...
105,公立,技專校院,0025,國立臺北科技大學,學士班(進修),315,220,95,...,...,...,...,...,...
105,公立,技專校院,0025,國立臺北科技大學,碩士班(日間),1152,858,294,...,...,...,...,...,...
