id,學年度,學期,學院,單位,學制班別,班次,學籍分組,年級,正式學籍之在學學生總人數男,正式學籍之在學學生總人數女,延修生人數男,延修生人數女,轉學生男,轉學生女,補充說明
urn:ncyu.edu.tw:student:number:00001,109,2,人文藝術學院,中國文學系,進修學士班,,,1,6,12,,,0,0,
urn:ncyu.edu.tw:student:number:00002,109,2,人文藝術學院,中國文學系,進修學士班,,,2,7,13,,,0,0,
urn:ncyu.edu.tw:student:number:00003,109,2,人文藝術學院,中國文學系,進修學士班,,,3,6,7,,,0,0,
urn:ncyu.edu.tw:student:number:00004,109,2,人文藝術學院,中國文學系,進修學士班,,,4,7,11,,,0,0,
urn:ncyu.edu.tw:student:number:00005,109,2,人文藝術學院,中國文學系,進修學士班,,,5,1,1,1,1,0,0,
urn:ncyu.edu.tw:student:number:00006,109,2,人文藝術學院,中國文學系,碩士在職專班,,,1,1,4,,,0,0,
urn:ncyu.edu.tw:student:number:00007,109,2,人文藝術學院,中國文學系,碩士在職專班,,,2,3,3,,,0,0,
urn:ncyu.edu.tw:student:number:00008,109,2,人文藝術學院,中國文學系,碩士在職專班,,,3,0,1,0,1,0,0,
urn:ncyu.edu.tw:student:number:00009,109,2,人文藝術學院,中國文學系,碩士在職專班,,,4,2,9,2,9,0,0,
urn:ncyu.edu.tw:student:number:00010,109,2,人文藝術學院,中國文學系,碩士班,,,1,5,5,,,0,0,
urn:ncyu.edu.tw:student:number:00011,109,2,人文藝術學院,中國文學系,碩士班,,,2,3,1,,,0,0,
urn:ncyu.edu.tw:student:number:00012,109,2,人文藝術學院,中國文學系,碩士班,,,3,4,6,4,6,0,0,
urn:ncyu.edu.tw:student:number:00013,109,2,人文藝術學院,中國文學系,碩士班,,,4,1,6,1,6,0,0,
urn:ncyu.edu.tw:student:number:00014,109,2,人文藝術學院,中國文學系,學士班,,,1,23,26,,,0,0,
urn:ncyu.edu.tw:student:number:00015,109,2,人文藝術學院,中國文學系,學士班,,,2,12,33,,,0,0,
urn:ncyu.edu.tw:student:number:00016,109,2,人文藝術學院,中國文學系,學士班,,,3,17,34,,,0,0,
urn:ncyu.edu.tw:student:number:00017,109,2,人文藝術學院,中國文學系,學士班,,,4,18,29,,,0,0,
urn:ncyu.edu.tw:student:number:00018,109,2,人文藝術學院,外國語言學系,進修學士班,,,4,1,0,,,0,0,
urn:ncyu.edu.tw:student:number:00019,109,2,人文藝術學院,外國語言學系,碩士班,,,1,0,10,,,0,0,
urn:ncyu.edu.tw:student:number:00020,109,2,人文藝術學院,外國語言學系,碩士班,,,2,0,5,,,0,0,
urn:ncyu.edu.tw:student:number:00021,109,2,人文藝術學院,外國語言學系,碩士班,,,3,2,5,2,5,0,0,
urn:ncyu.edu.tw:student:number:00022,109,2,人文藝術學院,外國語言學系,碩士班,,,4,0,6,0,6,0,0,
urn:ncyu.edu.tw:student:number:00023,109,2,人文藝術學院,外國語言學系,學士班,,英語教學組,1,18,28,,,0,0,
urn:ncyu.edu.tw:student:number:00024,109,2,人文藝術學院,外國語言學系,學士班,,英語教學組,2,16,28,,,0,0,
urn:ncyu.edu.tw:student:number:00025,109,2,人文藝術學院,外國語言學系,學士班,,英語教學組,3,19,31,,,0,0,
urn:ncyu.edu.tw:student:number:00026,109,2,人文藝術學院,外國語言學系,學士班,,英語教學組,4,15,33,,,0,0,
urn:ncyu.edu.tw:student:number:00027,109,2,人文藝術學院,外國語言學系,學士班,,英語教學組,5,3,2,3,2,0,0,
urn:ncyu.edu.tw:student:number:00028,109,2,人文藝術學院,外國語言學系,學士班,,應用外語組,1,12,34,,,0,0,
urn:ncyu.edu.tw:student:number:00029,109,2,人文藝術學院,外國語言學系,學士班,,應用外語組,2,13,27,,,0,0,
urn:ncyu.edu.tw:student:number:00030,109,2,人文藝術學院,外國語言學系,學士班,,應用外語組,3,18,31,,,0,0,
urn:ncyu.edu.tw:student:number:00031,109,2,人文藝術學院,外國語言學系,學士班,,應用外語組,4,15,36,,,0,0,
urn:ncyu.edu.tw:student:number:00032,109,2,人文藝術學院,外國語言學系,學士班,,應用外語組,5,2,4,2,4,0,0,
urn:ncyu.edu.tw:student:number:00033,109,2,人文藝術學院,音樂學系,碩士班,,,1,4,8,,,0,0,
urn:ncyu.edu.tw:student:number:00034,109,2,人文藝術學院,音樂學系,碩士班,,,2,2,10,,,0,0,
urn:ncyu.edu.tw:student:number:00035,109,2,人文藝術學院,音樂學系,碩士班,,,3,2,4,2,4,0,0,
urn:ncyu.edu.tw:student:number:00036,109,2,人文藝術學院,音樂學系,碩士班,,,4,2,1,2,1,0,0,
urn:ncyu.edu.tw:student:number:00037,109,2,人文藝術學院,音樂學系,學士班,,,1,17,18,,,0,0,
urn:ncyu.edu.tw:student:number:00038,109,2,人文藝術學院,音樂學系,學士班,,,2,11,29,,,0,0,
urn:ncyu.edu.tw:student:number:00039,109,2,人文藝術學院,音樂學系,學士班,,,3,16,33,,,0,0,
urn:ncyu.edu.tw:student:number:00040,109,2,人文藝術學院,音樂學系,學士班,,,4,17,25,,,0,0,
urn:ncyu.edu.tw:student:number:00041,109,2,人文藝術學院,音樂學系,學士班,,,5,8,4,8,4,0,0,
urn:ncyu.edu.tw:student:number:00042,109,2,人文藝術學院,音樂學系,學士班,,,6,2,3,2,3,0,0,
urn:ncyu.edu.tw:student:number:00043,109,2,人文藝術學院,視覺藝術學系,碩士班,,,1,5,8,,,0,0,
urn:ncyu.edu.tw:student:number:00044,109,2,人文藝術學院,視覺藝術學系,碩士班,,,2,8,11,,,0,0,
urn:ncyu.edu.tw:student:number:00045,109,2,人文藝術學院,視覺藝術學系,碩士班,,,3,4,13,4,13,0,0,
urn:ncyu.edu.tw:student:number:00046,109,2,人文藝術學院,視覺藝術學系,碩士班,,,4,5,7,5,7,0,0,
urn:ncyu.edu.tw:student:number:00047,109,2,人文藝術學院,視覺藝術學系,學士班,,,1,8,38,,,0,0,
urn:ncyu.edu.tw:student:number:00048,109,2,人文藝術學院,視覺藝術學系,學士班,,,2,7,38,,,0,0,
urn:ncyu.edu.tw:student:number:00049,109,2,人文藝術學院,視覺藝術學系,學士班,,,3,4,38,,,0,0,
urn:ncyu.edu.tw:student:number:00050,109,2,人文藝術學院,視覺藝術學系,學士班,,,4,6,41,,,0,0,
urn:ncyu.edu.tw:student:number:00051,109,2,人文藝術學院,視覺藝術學系,學士班,,,5,0,4,0,4,0,0,
urn:ncyu.edu.tw:student:number:00052,109,2,人文藝術學院,視覺藝術學系,學士班,,,6,0,1,0,1,0,0,
urn:ncyu.edu.tw:student:number:00053,109,2,人文藝術學院,應用歷史學系,碩士在職專班,,,1,2,0,,,0,0,
urn:ncyu.edu.tw:student:number:00054,109,2,人文藝術學院,應用歷史學系,碩士在職專班,,,2,2,1,,,0,0,
urn:ncyu.edu.tw:student:number:00055,109,2,人文藝術學院,應用歷史學系,碩士在職專班,,,3,2,0,2,0,0,0,
urn:ncyu.edu.tw:student:number:00056,109,2,人文藝術學院,應用歷史學系,碩士在職專班,,,4,0,5,0,5,0,0,
urn:ncyu.edu.tw:student:number:00057,109,2,人文藝術學院,應用歷史學系,碩士班,,,1,4,0,,,0,0,
urn:ncyu.edu.tw:student:number:00058,109,2,人文藝術學院,應用歷史學系,碩士班,,,2,4,2,,,0,0,
urn:ncyu.edu.tw:student:number:00059,109,2,人文藝術學院,應用歷史學系,碩士班,,,3,5,2,5,2,0,0,
urn:ncyu.edu.tw:student:number:00060,109,2,人文藝術學院,應用歷史學系,碩士班,,,4,3,4,3,4,0,0,
urn:ncyu.edu.tw:student:number:00061,109,2,人文藝術學院,應用歷史學系,學士班,,,1,35,13,,,0,0,
urn:ncyu.edu.tw:student:number:00062,109,2,人文藝術學院,應用歷史學系,學士班,,,2,32,16,,,0,0,
urn:ncyu.edu.tw:student:number:00063,109,2,人文藝術學院,應用歷史學系,學士班,,,3,27,15,,,0,0,
urn:ncyu.edu.tw:student:number:00064,109,2,人文藝術學院,應用歷史學系,學士班,,,4,31,9,,,0,0,
urn:ncyu.edu.tw:student:number:00065,109,2,人文藝術學院,應用歷史學系,學士班,,,5,2,0,2,0,0,0,
urn:ncyu.edu.tw:student:number:00066,109,2,生命科學院,水生生物科學系,碩士班,,,1,8,3,,,0,0,
urn:ncyu.edu.tw:student:number:00067,109,2,生命科學院,水生生物科學系,碩士班,,,2,3,2,,,0,0,
urn:ncyu.edu.tw:student:number:00068,109,2,生命科學院,水生生物科學系,碩士班,,,3,8,0,8,0,0,0,
urn:ncyu.edu.tw:student:number:00069,109,2,生命科學院,水生生物科學系,碩士班,,,4,1,0,1,0,0,0,
urn:ncyu.edu.tw:student:number:00070,109,2,生命科學院,水生生物科學系,學士班,,,1,22,24,,,0,0,
urn:ncyu.edu.tw:student:number:00071,109,2,生命科學院,水生生物科學系,學士班,,,2,22,18,,,0,0,
urn:ncyu.edu.tw:student:number:00072,109,2,生命科學院,水生生物科學系,學士班,,,3,22,11,,,0,0,
urn:ncyu.edu.tw:student:number:00073,109,2,生命科學院,水生生物科學系,學士班,,,4,17,19,,,0,0,
urn:ncyu.edu.tw:student:number:00074,109,2,生命科學院,水生生物科學系,學士班,,,5,2,1,2,1,0,0,
urn:ncyu.edu.tw:student:number:00075,109,2,生命科學院,水生生物科學系,學士班,,,6,1,0,1,0,0,0,
urn:ncyu.edu.tw:student:number:00076,109,2,生命科學院,生化科技學系,碩士在職專班,,,1,4,4,,,0,0,
urn:ncyu.edu.tw:student:number:00077,109,2,生命科學院,生化科技學系,碩士在職專班,,,2,2,5,,,0,0,
urn:ncyu.edu.tw:student:number:00078,109,2,生命科學院,生化科技學系,碩士在職專班,,,3,1,2,1,2,0,0,
urn:ncyu.edu.tw:student:number:00079,109,2,生命科學院,生化科技學系,碩士在職專班,,,4,0,1,0,1,0,0,
urn:ncyu.edu.tw:student:number:00080,109,2,生命科學院,生化科技學系,碩士班,,,1,7,1,,,0,0,
urn:ncyu.edu.tw:student:number:00081,109,2,生命科學院,生化科技學系,碩士班,,,3,1,1,1,1,0,0,
urn:ncyu.edu.tw:student:number:00082,109,2,生命科學院,生化科技學系,學士班,,,1,26,20,,,0,0,
urn:ncyu.edu.tw:student:number:00083,109,2,生命科學院,生化科技學系,學士班,,,2,27,17,,,0,0,
urn:ncyu.edu.tw:student:number:00084,109,2,生命科學院,生化科技學系,學士班,,,3,21,21,,,0,0,
urn:ncyu.edu.tw:student:number:00085,109,2,生命科學院,生化科技學系,學士班,,,4,18,26,,,0,0,
urn:ncyu.edu.tw:student:number:00086,109,2,生命科學院,生化科技學系,學士班,,,5,1,0,1,0,0,0,
urn:ncyu.edu.tw:student:number:00087,109,2,生命科學院,生命科學全英文碩士學位學程,碩士班,,,2,1,3,,,0,0,
urn:ncyu.edu.tw:student:number:00088,109,2,生命科學院,生物資源學系,碩士班,,,1,3,2,,,0,0,
urn:ncyu.edu.tw:student:number:00089,109,2,生命科學院,生物資源學系,碩士班,,,2,9,2,,,0,0,
urn:ncyu.edu.tw:student:number:00090,109,2,生命科學院,生物資源學系,碩士班,,,3,2,2,2,2,0,0,
urn:ncyu.edu.tw:student:number:00091,109,2,生命科學院,生物資源學系,學士班,,,1,16,29,,,0,0,
urn:ncyu.edu.tw:student:number:00092,109,2,生命科學院,生物資源學系,學士班,,,2,14,25,,,0,0,
urn:ncyu.edu.tw:student:number:00093,109,2,生命科學院,生物資源學系,學士班,,,3,16,12,,,0,0,
urn:ncyu.edu.tw:student:number:00094,109,2,生命科學院,生物資源學系,學士班,,,4,22,19,,,0,0,
urn:ncyu.edu.tw:student:number:00095,109,2,生命科學院,生物資源學系,學士班,,,5,1,1,1,1,0,0,
urn:ncyu.edu.tw:student:number:00096,109,2,生命科學院,食品科學系,博士班,,,1,3,1,,,0,0,
urn:ncyu.edu.tw:student:number:00097,109,2,生命科學院,食品科學系,博士班,,,2,3,2,,,0,0,
urn:ncyu.edu.tw:student:number:00098,109,2,生命科學院,食品科學系,博士班,,,3,2,1,,,0,0,
urn:ncyu.edu.tw:student:number:00099,109,2,生命科學院,食品科學系,博士班,,,4,4,0,4,0,0,0,
urn:ncyu.edu.tw:student:number:00100,109,2,生命科學院,食品科學系,博士班,,,5,3,1,3,1,0,0,
urn:ncyu.edu.tw:student:number:00101,109,2,生命科學院,食品科學系,博士班,,,6,2,2,2,2,0,0,
urn:ncyu.edu.tw:student:number:00102,109,2,生命科學院,食品科學系,博士班,,,7,3,4,3,4,0,0,
urn:ncyu.edu.tw:student:number:00103,109,2,生命科學院,食品科學系,進修學士班,,,1,18,25,,,0,0,
urn:ncyu.edu.tw:student:number:00104,109,2,生命科學院,食品科學系,進修學士班,,,2,16,25,,,0,0,
urn:ncyu.edu.tw:student:number:00105,109,2,生命科學院,食品科學系,進修學士班,,,3,12,29,,,0,0,
urn:ncyu.edu.tw:student:number:00106,109,2,生命科學院,食品科學系,進修學士班,,,4,22,22,,,0,0,
urn:ncyu.edu.tw:student:number:00107,109,2,生命科學院,食品科學系,進修學士班,,,5,3,2,3,2,0,0,
urn:ncyu.edu.tw:student:number:00108,109,2,生命科學院,食品科學系,進修學士班,,,6,0,1,0,1,0,0,
urn:ncyu.edu.tw:student:number:00109,109,2,生命科學院,食品科學系,碩士在職專班,,,1,6,13,,,0,0,
urn:ncyu.edu.tw:student:number:00110,109,2,生命科學院,食品科學系,碩士在職專班,,,2,8,7,,,0,0,
urn:ncyu.edu.tw:student:number:00111,109,2,生命科學院,食品科學系,碩士在職專班,,,3,10,3,10,3,0,0,
urn:ncyu.edu.tw:student:number:00112,109,2,生命科學院,食品科學系,碩士在職專班,,,4,2,5,2,5,0,0,
urn:ncyu.edu.tw:student:number:00113,109,2,生命科學院,食品科學系,碩士班,,保健食品組,1,2,6,,,0,0,
urn:ncyu.edu.tw:student:number:00114,109,2,生命科學院,食品科學系,碩士班,,保健食品組,2,2,6,,,0,0,
urn:ncyu.edu.tw:student:number:00115,109,2,生命科學院,食品科學系,碩士班,,保健食品組,3,0,2,0,2,0,0,
urn:ncyu.edu.tw:student:number:00116,109,2,生命科學院,食品科學系,碩士班,,保健食品組,4,1,0,1,0,0,0,
urn:ncyu.edu.tw:student:number:00117,109,2,生命科學院,食品科學系,碩士班,,食品科技組,1,6,10,,,0,0,
urn:ncyu.edu.tw:student:number:00118,109,2,生命科學院,食品科學系,碩士班,,食品科技組,2,4,11,,,0,0,
urn:ncyu.edu.tw:student:number:00119,109,2,生命科學院,食品科學系,碩士班,,食品科技組,3,0,2,0,2,0,0,
urn:ncyu.edu.tw:student:number:00120,109,2,生命科學院,食品科學系,學士班,,,1,15,32,,,0,0,
urn:ncyu.edu.tw:student:number:00121,109,2,生命科學院,食品科學系,學士班,,,2,20,32,,,0,0,
urn:ncyu.edu.tw:student:number:00122,109,2,生命科學院,食品科學系,學士班,,,3,15,35,,,0,0,
urn:ncyu.edu.tw:student:number:00123,109,2,生命科學院,食品科學系,學士班,,,4,15,36,,,0,0,
urn:ncyu.edu.tw:student:number:00124,109,2,生命科學院,食品科學系,學士班,,,5,1,3,1,3,0,0,
urn:ncyu.edu.tw:student:number:00125,109,2,生命科學院,食品科學系,學士班,,,6,1,1,1,1,0,0,
urn:ncyu.edu.tw:student:number:00126,109,2,生命科學院,微生物免疫與生物藥學系,碩士班,,,1,2,3,,,0,0,
urn:ncyu.edu.tw:student:number:00127,109,2,生命科學院,微生物免疫與生物藥學系,碩士班,,,2,0,4,,,0,0,
urn:ncyu.edu.tw:student:number:00128,109,2,生命科學院,微生物免疫與生物藥學系,碩士班,,,3,0,1,0,1,0,0,
urn:ncyu.edu.tw:student:number:00129,109,2,生命科學院,微生物免疫與生物藥學系,碩士班,,,4,0,1,0,1,0,0,
urn:ncyu.edu.tw:student:number:00130,109,2,生命科學院,微生物免疫與生物藥學系,學士班,,,1,21,21,,,0,0,
urn:ncyu.edu.tw:student:number:00131,109,2,生命科學院,微生物免疫與生物藥學系,學士班,,,2,24,23,,,0,0,
urn:ncyu.edu.tw:student:number:00132,109,2,生命科學院,微生物免疫與生物藥學系,學士班,,,3,19,20,,,0,0,
urn:ncyu.edu.tw:student:number:00133,109,2,生命科學院,微生物免疫與生物藥學系,學士班,,,4,18,20,,,0,0,
urn:ncyu.edu.tw:student:number:00134,109,2,生命科學院,微生物免疫與生物藥學系,學士班,,,5,1,0,1,0,0,0,
urn:ncyu.edu.tw:student:number:00135,109,2,生命科學院,微生物免疫與生物藥學系,學士班,,,6,1,0,1,0,0,0,
urn:ncyu.edu.tw:student:number:00136,109,2,師範學院,幼兒教育學系,碩士在職專班,,,1,1,21,,,0,0,
urn:ncyu.edu.tw:student:number:00137,109,2,師範學院,幼兒教育學系,碩士在職專班,,,2,0,19,,,0,0,
urn:ncyu.edu.tw:student:number:00138,109,2,師範學院,幼兒教育學系,碩士在職專班,,,3,0,4,0,4,0,0,
urn:ncyu.edu.tw:student:number:00139,109,2,師範學院,幼兒教育學系,碩士在職專班,,,4,0,2,0,2,0,0,
urn:ncyu.edu.tw:student:number:00140,109,2,師範學院,幼兒教育學系,碩士班,,,1,1,16,,,0,0,
urn:ncyu.edu.tw:student:number:00141,109,2,師範學院,幼兒教育學系,碩士班,,,2,1,13,,,0,0,
urn:ncyu.edu.tw:student:number:00142,109,2,師範學院,幼兒教育學系,碩士班,,,3,2,10,2,10,0,0,
urn:ncyu.edu.tw:student:number:00143,109,2,師範學院,幼兒教育學系,碩士班,,,4,1,9,1,9,0,0,
urn:ncyu.edu.tw:student:number:00144,109,2,師範學院,幼兒教育學系,學士班,,,1,9,43,,,0,0,
urn:ncyu.edu.tw:student:number:00145,109,2,師範學院,幼兒教育學系,學士班,,,2,9,49,,,0,0,
urn:ncyu.edu.tw:student:number:00146,109,2,師範學院,幼兒教育學系,學士班,,,3,8,44,,,0,0,
urn:ncyu.edu.tw:student:number:00147,109,2,師範學院,幼兒教育學系,學士班,,,4,4,50,,,0,0,
urn:ncyu.edu.tw:student:number:00148,109,2,師範學院,幼兒教育學系,學士班,,,5,1,0,1,0,0,0,
urn:ncyu.edu.tw:student:number:00149,109,2,師範學院,師範學院教學專業國際碩士學位學程,碩士班,,,1,1,6,,,0,0,
urn:ncyu.edu.tw:student:number:00150,109,2,師範學院,師範學院教學專業國際碩士學位學程,碩士班,,,2,0,2,,,0,0,
urn:ncyu.edu.tw:student:number:00151,109,2,師範學院,特殊教育學系,碩士班,,,1,2,11,,,0,0,
urn:ncyu.edu.tw:student:number:00152,109,2,師範學院,特殊教育學系,碩士班,,,2,1,10,,,0,0,
urn:ncyu.edu.tw:student:number:00153,109,2,師範學院,特殊教育學系,碩士班,,,3,0,12,0,12,0,0,
urn:ncyu.edu.tw:student:number:00154,109,2,師範學院,特殊教育學系,碩士班,,,4,2,8,2,8,0,0,
urn:ncyu.edu.tw:student:number:00155,109,2,師範學院,特殊教育學系,學士班,,,1,12,31,,,0,0,
urn:ncyu.edu.tw:student:number:00156,109,2,師範學院,特殊教育學系,學士班,,,2,8,33,,,0,0,
urn:ncyu.edu.tw:student:number:00157,109,2,師範學院,特殊教育學系,學士班,,,3,9,26,,,0,0,
urn:ncyu.edu.tw:student:number:00158,109,2,師範學院,特殊教育學系,學士班,,,4,8,30,,,0,0,
urn:ncyu.edu.tw:student:number:00159,109,2,師範學院,特殊教育學系,學士班,,,5,3,0,3,0,0,0,
urn:ncyu.edu.tw:student:number:00160,109,2,師範學院,教育行政與政策發展研究所,碩士在職專班,,,1,2,18,,,0,0,
urn:ncyu.edu.tw:student:number:00161,109,2,師範學院,教育行政與政策發展研究所,碩士在職專班,,,2,4,9,,,0,0,
urn:ncyu.edu.tw:student:number:00162,109,2,師範學院,教育行政與政策發展研究所,碩士在職專班,,,3,3,2,3,2,0,0,
urn:ncyu.edu.tw:student:number:00163,109,2,師範學院,教育行政與政策發展研究所,碩士在職專班,,,4,0,5,0,5,0,0,
urn:ncyu.edu.tw:student:number:00164,109,2,師範學院,教育行政與政策發展研究所,碩士班,,,1,3,13,,,0,0,
urn:ncyu.edu.tw:student:number:00165,109,2,師範學院,教育行政與政策發展研究所,碩士班,,,2,3,8,,,0,0,
urn:ncyu.edu.tw:student:number:00166,109,2,師範學院,教育行政與政策發展研究所,碩士班,,,3,2,5,2,5,0,0,
urn:ncyu.edu.tw:student:number:00167,109,2,師範學院,教育行政與政策發展研究所,碩士班,,,4,0,2,0,2,0,0,
urn:ncyu.edu.tw:student:number:00168,109,2,師範學院,教育學系,博士班,,,1,0,11,,,0,0,
urn:ncyu.edu.tw:student:number:00169,109,2,師範學院,教育學系,博士班,,,2,2,6,,,0,0,
urn:ncyu.edu.tw:student:number:00170,109,2,師範學院,教育學系,博士班,,,3,5,5,,,0,0,
urn:ncyu.edu.tw:student:number:00171,109,2,師範學院,教育學系,博士班,,,4,2,5,2,5,0,0,
urn:ncyu.edu.tw:student:number:00172,109,2,師範學院,教育學系,博士班,,,5,3,4,3,4,0,0,
urn:ncyu.edu.tw:student:number:00173,109,2,師範學院,教育學系,博士班,,,6,2,5,2,5,0,0,
urn:ncyu.edu.tw:student:number:00174,109,2,師範學院,教育學系,博士班,,,7,0,5,0,5,0,0,
urn:ncyu.edu.tw:student:number:00175,109,2,師範學院,教育學系,碩士在職專班,,,1,12,22,,,0,0,
urn:ncyu.edu.tw:student:number:00176,109,2,師範學院,教育學系,碩士在職專班,,,2,1,24,,,0,0,
urn:ncyu.edu.tw:student:number:00177,109,2,師範學院,教育學系,碩士在職專班,,,3,3,17,3,17,0,0,
urn:ncyu.edu.tw:student:number:00178,109,2,師範學院,教育學系,碩士在職專班,,,4,4,21,4,21,0,0,
urn:ncyu.edu.tw:student:number:00179,109,2,師範學院,教育學系,碩士班,,,1,11,14,,,0,0,
urn:ncyu.edu.tw:student:number:00180,109,2,師範學院,教育學系,碩士班,,,2,3,10,,,0,0,
urn:ncyu.edu.tw:student:number:00181,109,2,師範學院,教育學系,碩士班,,,3,3,9,3,9,0,0,
urn:ncyu.edu.tw:student:number:00182,109,2,師範學院,教育學系,碩士班,,,4,1,6,1,6,0,0,
urn:ncyu.edu.tw:student:number:00183,109,2,師範學院,教育學系,學士班,,,1,16,27,,,0,0,
urn:ncyu.edu.tw:student:number:00184,109,2,師範學院,教育學系,學士班,,,2,12,29,,,0,0,
urn:ncyu.edu.tw:student:number:00185,109,2,師範學院,教育學系,學士班,,,3,11,21,,,0,0,
urn:ncyu.edu.tw:student:number:00186,109,2,師範學院,教育學系,學士班,,,4,12,28,,,0,0,
urn:ncyu.edu.tw:student:number:00187,109,2,師範學院,教育學系,學士班,,,5,1,0,1,0,0,0,
urn:ncyu.edu.tw:student:number:00188,109,2,師範學院,輔導與諮商學系,碩士在職專班,,,1,6,32,,,0,0,
urn:ncyu.edu.tw:student:number:00189,109,2,師範學院,輔導與諮商學系,碩士在職專班,,,2,10,26,,,0,0,
urn:ncyu.edu.tw:student:number:00190,109,2,師範學院,輔導與諮商學系,碩士在職專班,,,3,6,22,6,22,0,0,
urn:ncyu.edu.tw:student:number:00191,109,2,師範學院,輔導與諮商學系,碩士在職專班,,,4,8,32,8,32,0,0,
urn:ncyu.edu.tw:student:number:00192,109,2,師範學院,輔導與諮商學系,碩士班,,,1,7,24,,,0,0,
urn:ncyu.edu.tw:student:number:00193,109,2,師範學院,輔導與諮商學系,碩士班,,,2,2,17,,,0,0,
urn:ncyu.edu.tw:student:number:00194,109,2,師範學院,輔導與諮商學系,碩士班,,,3,4,15,4,15,0,0,
urn:ncyu.edu.tw:student:number:00195,109,2,師範學院,輔導與諮商學系,碩士班,,,4,7,24,7,24,0,0,
urn:ncyu.edu.tw:student:number:00196,109,2,師範學院,輔導與諮商學系,學士班,,,1,18,35,,,0,0,
urn:ncyu.edu.tw:student:number:00197,109,2,師範學院,輔導與諮商學系,學士班,,,2,21,31,,,0,0,
urn:ncyu.edu.tw:student:number:00198,109,2,師範學院,輔導與諮商學系,學士班,,,3,23,34,,,0,0,
urn:ncyu.edu.tw:student:number:00199,109,2,師範學院,輔導與諮商學系,學士班,,,4,11,44,,,0,0,
urn:ncyu.edu.tw:student:number:00200,109,2,師範學院,輔導與諮商學系,學士班,,,5,2,1,2,1,0,0,
urn:ncyu.edu.tw:student:number:00201,109,2,師範學院,數位學習設計與管理學系,碩士班,,,1,4,3,,,0,0,
urn:ncyu.edu.tw:student:number:00202,109,2,師範學院,數位學習設計與管理學系,碩士班,,,2,1,5,,,0,0,
urn:ncyu.edu.tw:student:number:00203,109,2,師範學院,數位學習設計與管理學系,碩士班,,,3,0,4,0,4,0,0,
urn:ncyu.edu.tw:student:number:00204,109,2,師範學院,數位學習設計與管理學系,碩士班,,,4,0,2,0,2,0,0,
urn:ncyu.edu.tw:student:number:00205,109,2,師範學院,數位學習設計與管理學系,學士班,,,1,26,19,,,0,0,
urn:ncyu.edu.tw:student:number:00206,109,2,師範學院,數位學習設計與管理學系,學士班,,,2,19,27,,,0,0,
urn:ncyu.edu.tw:student:number:00207,109,2,師範學院,數位學習設計與管理學系,學士班,,,3,19,26,,,0,0,
urn:ncyu.edu.tw:student:number:00208,109,2,師範學院,數位學習設計與管理學系,學士班,,,4,18,23,,,0,0,
urn:ncyu.edu.tw:student:number:00209,109,2,師範學院,數位學習設計與管理學系,學士班,,,5,0,1,0,1,0,0,
urn:ncyu.edu.tw:student:number:00210,109,2,師範學院,數位學習設計與管理學系,學士班,,,6,2,0,2,0,0,0,
urn:ncyu.edu.tw:student:number:00211,109,2,師範學院,數理教育研究所,碩士在職專班,,,1,9,2,,,0,0,
urn:ncyu.edu.tw:student:number:00212,109,2,師範學院,數理教育研究所,碩士在職專班,,,2,3,6,,,0,0,
urn:ncyu.edu.tw:student:number:00213,109,2,師範學院,數理教育研究所,碩士在職專班,,,3,2,3,,,0,0,
urn:ncyu.edu.tw:student:number:00214,109,2,師範學院,數理教育研究所,碩士班,,,1,7,6,,,0,0,
urn:ncyu.edu.tw:student:number:00215,109,2,師範學院,數理教育研究所,碩士班,,,2,10,5,,,0,0,
urn:ncyu.edu.tw:student:number:00216,109,2,師範學院,數理教育研究所,碩士班,,,3,7,2,7,2,0,0,
urn:ncyu.edu.tw:student:number:00217,109,2,師範學院,數理教育研究所,碩士班,,,4,8,2,8,2,0,0,
urn:ncyu.edu.tw:student:number:00218,109,2,師範學院,體育與健康休閒學系,進修學士班,,,1,40,5,,,0,0,
urn:ncyu.edu.tw:student:number:00219,109,2,師範學院,體育與健康休閒學系,進修學士班,,,2,36,5,,,0,0,
urn:ncyu.edu.tw:student:number:00220,109,2,師範學院,體育與健康休閒學系,進修學士班,,,3,31,6,,,0,0,
urn:ncyu.edu.tw:student:number:00221,109,2,師範學院,體育與健康休閒學系,進修學士班,,,4,30,5,,,0,0,
urn:ncyu.edu.tw:student:number:00222,109,2,師範學院,體育與健康休閒學系,進修學士班,,,5,3,1,3,1,0,0,
urn:ncyu.edu.tw:student:number:00223,109,2,師範學院,體育與健康休閒學系,碩士在職專班,,,1,5,13,,,0,0,
urn:ncyu.edu.tw:student:number:00224,109,2,師範學院,體育與健康休閒學系,碩士在職專班,,,2,8,5,,,0,0,
urn:ncyu.edu.tw:student:number:00225,109,2,師範學院,體育與健康休閒學系,碩士在職專班,,,3,2,3,2,3,0,0,
urn:ncyu.edu.tw:student:number:00226,109,2,師範學院,體育與健康休閒學系,碩士在職專班,,,4,5,6,5,6,0,0,
urn:ncyu.edu.tw:student:number:00227,109,2,師範學院,體育與健康休閒學系,碩士班,,,1,9,5,,,0,0,
urn:ncyu.edu.tw:student:number:00228,109,2,師範學院,體育與健康休閒學系,碩士班,,,2,3,6,,,0,0,
urn:ncyu.edu.tw:student:number:00229,109,2,師範學院,體育與健康休閒學系,碩士班,,,3,6,4,6,4,0,0,
