99學年度畢業生102年薪資年學校代碼,99學年度畢業生102年薪資年學校名稱,99學年度畢業生102年薪資年體系別,99學年度畢業生102年薪資年公私立,99學年度畢業生102年薪資年畢業年,99學年度畢業生102年薪資年薪資年,99學年度畢業生102年薪資年等級別,99學年度畢業生102年薪資年學制別,99學年度畢業生103年薪資年學校代碼,99學年度畢業生103年薪資年學校名稱,99學年度畢業生103年薪資年體系別,99學年度畢業生103年薪資年公私立,99學年度畢業生103年薪資年畢業年,99學年度畢業生103年薪資年薪資年,99學年度畢業生103年薪資年等級別,99學年度畢業生103年薪資年學制別,100學年度畢業生103年薪資年學校代碼,100學年度畢業生103年薪資年學校名稱,100學年度畢業生103年薪資年體系別,100學年度畢業生103年薪資年公私立,100學年度畢業生103年薪資年畢業年,100學年度畢業生103年薪資年薪資年,100學年度畢業生103年薪資年等級別,100學年度畢業生103年薪資年學制別
0030,國立臺東大學,一般,公立,99,102,學士,進修學制,0030,國立臺東大學,一般,公立,99,103,碩士,日間學制,0030,國立臺東大學,一般,公立,100,103,學士,進修學制
0033,國立虎尾科技大學,技職,公立,99,102,博士,未滿35歲,0030,國立臺東大學,一般,公立,99,103,學士,進修學制,0031,國立宜蘭大學,一般,公立,100,103,碩士,在職專班
0034,國立高雄海洋科技大學,技職,公立,99,102,專科,日間學制,0033,國立虎尾科技大學,技職,公立,99,103,博士,未滿35歲,0033,國立虎尾科技大學,技職,公立,100,103,博士,未滿35歲
0035,國立臺南藝術大學,一般,公立,99,102,學士,進修學制,0034,國立高雄海洋科技大學,技職,公立,99,103,專科,日間學制,0034,國立高雄海洋科技大學,技職,公立,100,103,專科,日間學制
0036,國立臺南大學,一般,公立,99,102,博士,35歲以上,0035,國立臺南藝術大學,一般,公立,99,103,學士,進修學制,0035,國立臺南藝術大學,一般,公立,100,103,碩士,在職專班
0037,國立臺北教育大學,一般,公立,99,102,博士,35歲以上,0036,國立臺南大學,一般,公立,99,103,博士,35歲以上,0035,國立臺南藝術大學,一般,公立,100,103,學士,進修學制
0038,國立新竹教育大學,一般,公立,99,102,博士,35歲以上,0037,國立臺北教育大學,一般,公立,99,103,博士,35歲以上,0036,國立臺南大學,一般,公立,100,103,博士,35歲以上
0039,國立臺中教育大學,一般,公立,99,102,博士,未滿35歲,0038,國立新竹教育大學,一般,公立,99,103,博士,35歲以上,0037,國立臺北教育大學,一般,公立,100,103,博士,35歲以上
0039,國立臺中教育大學,一般,公立,99,102,博士,35歲以上,0039,國立臺中教育大學,一般,公立,99,103,博士,未滿35歲,0038,國立新竹教育大學,一般,公立,100,103,博士,35歲以上
0040,國立屏東教育大學,一般,公立,99,102,博士,35歲以上,0039,國立臺中教育大學,一般,公立,99,103,博士,35歲以上,0039,國立臺中教育大學,一般,公立,100,103,博士,35歲以上
