99學年度畢業生102年薪資年學校代碼,99學年度畢業生102年薪資年學校名稱,99學年度畢業生102年薪資年體系別,99學年度畢業生102年薪資年公私立,99學年度畢業生102年薪資年畢業年,99學年度畢業生102年薪資年薪資年,99學年度畢業生102年薪資年等級別,99學年度畢業生102年薪資年學制別,99學年度畢業生103年薪資年學校代碼,99學年度畢業生103年薪資年學校名稱,99學年度畢業生103年薪資年體系別,99學年度畢業生103年薪資年公私立,99學年度畢業生103年薪資年畢業年,99學年度畢業生103年薪資年薪資年,99學年度畢業生103年薪資年等級別,99學年度畢業生103年薪資年學制別,100學年度畢業生103年薪資年學校代碼,100學年度畢業生103年薪資年學校名稱,100學年度畢業生103年薪資年體系別,100學年度畢業生103年薪資年公私立,100學年度畢業生103年薪資年畢業年,100學年度畢業生103年薪資年薪資年,100學年度畢業生103年薪資年等級別,100學年度畢業生103年薪資年學制別
1059,康寧大學,一般,私立,99,102,碩士,日間學制,1060,南開科技大學,技職,私立,99,103,專科,進修學制,1060,南開科技大學,技職,私立,100,103,專科,進修學制
1060,南開科技大學,技職,私立,99,102,碩士,在職專班,1061,中華科技大學,技職,私立,99,103,專科,進修學制,1061,中華科技大學,技職,私立,100,103,專科,進修學制
1060,南開科技大學,技職,私立,99,102,專科,進修學制,1062,僑光科技大學,技職,私立,99,103,碩士,日間學制,1062,僑光科技大學,技職,私立,100,103,碩士,日間學制
1061,中華科技大學,技職,私立,99,102,碩士,在職專班,1062,僑光科技大學,技職,私立,99,103,碩士,在職專班,1062,僑光科技大學,技職,私立,100,103,碩士,在職專班
1061,中華科技大學,技職,私立,99,102,專科,進修學制,1062,僑光科技大學,技職,私立,99,103,專科,進修學制,1063,育達科技大學,技職,私立,100,103,碩士,在職專班
1062,僑光科技大學,技職,私立,99,102,碩士,日間學制,1063,育達科技大學,技職,私立,99,103,碩士,日間學制,1064,美和科技大學,技職,私立,100,103,碩士,日間學制
1062,僑光科技大學,技職,私立,99,102,碩士,在職專班,1063,育達科技大學,技職,私立,99,103,碩士,在職專班,1064,美和科技大學,技職,私立,100,103,碩士,在職專班
1062,僑光科技大學,技職,私立,99,102,專科,進修學制,1064,美和科技大學,技職,私立,99,103,碩士,日間學制,1065,吳鳳科技大學,技職,私立,100,103,碩士,日間學制
1063,育達科技大學,技職,私立,99,102,碩士,日間學制,1064,美和科技大學,技職,私立,99,103,碩士,在職專班,1065,吳鳳科技大學,技職,私立,100,103,碩士,在職專班
1063,育達科技大學,技職,私立,99,102,碩士,在職專班,1064,美和科技大學,技職,私立,99,103,專科,進修學制,1065,吳鳳科技大學,技職,私立,100,103,專科,日間學制
1064,美和科技大學,技職,私立,99,102,碩士,日間學制,1065,吳鳳科技大學,技職,私立,99,103,碩士,日間學制,1066,環球科技大學,技職,私立,100,103,碩士,日間學制
1064,美和科技大學,技職,私立,99,102,碩士,在職專班,1065,吳鳳科技大學,技職,私立,99,103,碩士,在職專班,1066,環球科技大學,技職,私立,100,103,專科,日間學制
1064,美和科技大學,技職,私立,99,102,專科,進修學制,1068,中州科技大學,技職,私立,99,103,碩士,日間學制,1067,台灣首府大學,一般,私立,100,103,碩士,日間學制
1065,吳鳳科技大學,技職,私立,99,102,碩士,日間學制,1068,中州科技大學,技職,私立,99,103,專科,進修學制,1068,中州科技大學,技職,私立,100,103,碩士,日間學制
1065,吳鳳科技大學,技職,私立,99,102,碩士,在職專班,1069,修平科技大學,技職,私立,99,103,碩士,日間學制,1068,中州科技大學,技職,私立,100,103,碩士,在職專班
1065,吳鳳科技大學,技職,私立,99,102,專科,日間學制,1070,長庚科技大學,技職,私立,99,103,碩士,在職專班,1069,修平科技大學,技職,私立,100,103,碩士,日間學制
1067,台灣首府大學,一般,私立,99,102,碩士,日間學制,1071,臺北城市科技大學,技職,私立,99,103,碩士,日間學制,1072,大華科技大學,技職,私立,100,103,碩士,日間學制
1068,中州科技大學,技職,私立,99,102,碩士,日間學制,1072,大華科技大學,技職,私立,99,103,碩士,日間學制,1072,大華科技大學,技職,私立,100,103,專科,進修學制
1068,中州科技大學,技職,私立,99,102,專科,進修學制,1072,大華科技大學,技職,私立,99,103,專科,進修學制,1073,醒吾科技大學,技職,私立,100,103,碩士,日間學制
1069,修平科技大學,技職,私立,99,102,碩士,日間學制,1073,醒吾科技大學,技職,私立,99,103,碩士,日間學制,1073,醒吾科技大學,技職,私立,100,103,碩士,在職專班
1070,長庚科技大學,技職,私立,99,102,碩士,在職專班,1074,南榮科技大學,技職,私立,99,103,碩士,日間學制,1073,醒吾科技大學,技職,私立,100,103,專科,進修學制
1071,臺北城市科技大學,技職,私立,99,102,碩士,日間學制,1074,南榮科技大學,技職,私立,99,103,碩士,在職專班,1074,南榮科技大學,技職,私立,100,103,碩士,日間學制
1072,大華科技大學,技職,私立,99,102,碩士,日間學制,1075,文藻外語大學,技職,私立,99,103,碩士,在職專班,1074,南榮科技大學,技職,私立,100,103,碩士,在職專班
1072,大華科技大學,技職,私立,99,102,專科,進修學制,1150,慈濟技術學院,技職,私立,99,103,碩士,日間學制,1074,南榮科技大學,技職,私立,100,103,專科,日間學制
1073,醒吾科技大學,技職,私立,99,102,碩士,日間學制,1159,和春技術學院,技職,私立,99,103,碩士,日間學制,1075,文藻外語大學,技職,私立,100,103,碩士,日間學制
1073,醒吾科技大學,技職,私立,99,102,專科,進修學制,1159,和春技術學院,技職,私立,99,103,專科,日間學制,1075,文藻外語大學,技職,私立,100,103,碩士,在職專班
1074,南榮科技大學,技職,私立,99,102,碩士,日間學制,1164,致理技術學院,技職,私立,99,103,碩士,日間學制,1148,大漢技術學院,技職,私立,100,103,專科,進修學制
1074,南榮科技大學,技職,私立,99,102,碩士,在職專班,1166,亞東技術學院,技職,私立,99,103,專科,日間學制,1159,和春技術學院,技職,私立,100,103,碩士,日間學制
1074,南榮科技大學,技職,私立,99,102,專科,日間學制,1168,桃園創新技術學院,技職,私立,99,103,碩士,日間學制,1159,和春技術學院,技職,私立,100,103,學士,進修學制
1075,文藻外語大學,技職,私立,99,102,碩士,在職專班,1176,稻江科技暨管理學院,一般,私立,99,103,碩士,日間學制,1164,致理技術學院,技職,私立,100,103,碩士,日間學制
1150,慈濟技術學院,技職,私立,99,102,碩士,日間學制,1184,東方設計學院,技職,私立,99,103,碩士,日間學制,1164,致理技術學院,技職,私立,100,103,碩士,在職專班
1159,和春技術學院,技職,私立,99,102,碩士,日間學制,1184,東方設計學院,技職,私立,99,103,專科,進修學制,1164,致理技術學院,技職,私立,100,103,專科,進修學制
1159,和春技術學院,技職,私立,99,102,專科,日間學制,1185,經國管理暨健康學院,技職,私立,99,103,碩士,日間學制,1168,桃園創新技術學院,技職,私立,100,103,碩士,日間學制
1164,致理技術學院,技職,私立,99,102,碩士,日間學制,1185,經國管理暨健康學院,技職,私立,99,103,碩士,在職專班,1176,稻江科技暨管理學院,一般,私立,100,103,碩士,日間學制
1164,致理技術學院,技職,私立,99,102,碩士,在職專班,1185,經國管理暨健康學院,技職,私立,99,103,專科,進修學制,1179,德霖技術學院,技職,私立,100,103,專科,進修學制
1166,亞東技術學院,技職,私立,99,102,專科,日間學制,1187,崇右技術學院,技職,私立,99,103,學士,進修學制,1182,蘭陽技術學院,技職,私立,100,103,專科,進修學制
1168,桃園創新技術學院,技職,私立,99,102,碩士,日間學制,1187,崇右技術學院,技職,私立,99,103,專科,進修學制,1183,黎明技術學院,技職,私立,100,103,專科,日間學制
1176,稻江科技暨管理學院,一般,私立,99,102,碩士,日間學制,1188,大同技術學院,技職,私立,99,103,專科,日間學制,1183,黎明技術學院,技職,私立,100,103,專科,進修學制
1184,東方設計學院,技職,私立,99,102,碩士,日間學制,1188,大同技術學院,技職,私立,99,103,專科,進修學制,1184,東方設計學院,技職,私立,100,103,碩士,日間學制
1185,經國管理暨健康學院,技職,私立,99,102,碩士,日間學制,1189,亞太創意技術學院,技職,私立,99,103,專科,日間學制,1185,經國管理暨健康學院,技職,私立,100,103,碩士,日間學制
1185,經國管理暨健康學院,技職,私立,99,102,碩士,在職專班,1191,華夏技術學院,技職,私立,99,103,碩士,在職專班,1185,經國管理暨健康學院,技職,私立,100,103,碩士,在職專班
1185,經國管理暨健康學院,技職,私立,99,102,專科,進修學制,1192,臺灣觀光學院,技職,私立,99,103,學士,進修學制,1187,崇右技術學院,技職,私立,100,103,學士,進修學制
1187,崇右技術學院,技職,私立,99,102,學士,進修學制,1194,台北海洋技術學院,技職,私立,99,103,專科,日間學制,1188,大同技術學院,技職,私立,100,103,專科,日間學制
1187,崇右技術學院,技職,私立,99,102,專科,進修學制,1287,敏惠醫護管理專科學校,技職,私立,99,103,專科,進修學制,1188,大同技術學院,技職,私立,100,103,專科,進修學制
1188,大同技術學院,技職,私立,99,102,專科,日間學制,1288,高美醫護管理專科學校,技職,私立,99,103,專科,日間學制,1189,亞太創意技術學院,技職,私立,100,103,專科,日間學制
1188,大同技術學院,技職,私立,99,102,專科,進修學制,1288,高美醫護管理專科學校,技職,私立,99,103,專科,進修學制,1191,華夏技術學院,技職,私立,100,103,碩士,在職專班
1189,亞太創意技術學院,技職,私立,99,102,專科,日間學制,1290,崇仁醫護管理專科學校,技職,私立,99,103,專科,進修學制,1191,華夏技術學院,技職,私立,100,103,專科,日間學制
1191,華夏技術學院,技職,私立,99,102,碩士,在職專班,3002,臺北市立大學,一般,公立,99,103,博士,35歲以上,1192,臺灣觀光學院,技職,私立,100,103,學士,進修學制
1192,臺灣觀光學院,技職,私立,99,102,學士,進修學制,,,,,,,,,1192,臺灣觀光學院,技職,私立,100,103,專科,日間學制
1194,台北海洋技術學院,技職,私立,99,102,專科,日間學制,,,,,,,,,1288,高美醫護管理專科學校,技職,私立,100,103,專科,進修學制
1194,台北海洋技術學院,技職,私立,99,102,專科,進修學制,,,,,,,,,1290,崇仁醫護管理專科學校,技職,私立,100,103,專科,進修學制
1287,敏惠醫護管理專科學校,技職,私立,99,102,專科,進修學制,,,,,,,,,1291,聖母醫護管理專科學校,技職,私立,100,103,專科,進修學制
1288,高美醫護管理專科學校,技職,私立,99,102,專科,日間學制,,,,,,,,,3002,臺北市立大學,一般,公立,100,103,博士,35歲以上
1288,高美醫護管理專科學校,技職,私立,99,102,專科,進修學制,,,,,,,,,,,,,,,,
1290,崇仁醫護管理專科學校,技職,私立,99,102,專科,進修學制,,,,,,,,,,,,,,,,
3002,臺北市立大學,一般,公立,99,102,博士,35歲以上,,,,,,,,,,,,,,,,
